source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
Auricular,0,AURUM_ROUTE_STCM,Auricular,4023156,SNOMED,1970-01-01,2099-12-31,
Auricular/ Nasal/ Ocular,0,AURUM_ROUTE_STCM,Auricular/ Nasal/ Ocular,4023156,SNOMED,1970-01-01,2099-12-31,
Auricular/ Ocular,0,AURUM_ROUTE_STCM,Auricular/ Ocular,4023156,SNOMED,1970-01-01,2099-12-31,
Buccal,0,AURUM_ROUTE_STCM,Buccal,4181897,SNOMED,1970-01-01,2099-12-31,
Cutaneous,0,AURUM_ROUTE_STCM,Cutaneous,35627167,SNOMED,1970-01-01,2099-12-31,
Cutaneous/ Gingival,0,AURUM_ROUTE_STCM,Cutaneous/ Gingival,4156704,SNOMED,1970-01-01,2099-12-31,
Cutaneous/ Inhalation,0,AURUM_ROUTE_STCM,Cutaneous/ Inhalation,45956874,SNOMED,1970-01-01,2099-12-31,
Cutaneous/ Intravenous,0,AURUM_ROUTE_STCM,Cutaneous/ Intravenous,4171047,SNOMED,1970-01-01,2099-12-31,
Cutaneous/ Intravesical,0,AURUM_ROUTE_STCM,Cutaneous/ Intravesical,4186838,SNOMED,1970-01-01,2099-12-31,
Cutaneous/ Iontophoresis,0,AURUM_ROUTE_STCM,Cutaneous/ Iontophoresis,45956881,SNOMED,1970-01-01,2099-12-31,
Cutaneous/ Nasal,0,AURUM_ROUTE_STCM,Cutaneous/ Nasal,35627167,SNOMED,1970-01-01,2099-12-31,
Cutaneous/ Nasal/ Endosinusial/ Endotracheopulmonary/ Gingival/ Oromucosal,0,AURUM_ROUTE_STCM,Cutaneous/ Nasal/ Endosinusial/ Endotracheopulmonary/ Gingival/ Oromucosal,4186832,SNOMED,1970-01-01,2099-12-31,
Cutaneous/ Oral,0,AURUM_ROUTE_STCM,Cutaneous/ Oral,35627167,SNOMED,1970-01-01,2099-12-31,
Cutaneous/ Oromucosal,0,AURUM_ROUTE_STCM,Cutaneous/ Oromucosal,4186839,SNOMED,1970-01-01,2099-12-31,
Cutaneous/ Rectal,0,AURUM_ROUTE_STCM,Cutaneous/ Rectal,35627167,SNOMED,1970-01-01,2099-12-31,
Cutaneous/ Rectal/ Urethral/ Oromucosal,0,AURUM_ROUTE_STCM,Cutaneous/ Rectal/ Urethral/ Oromucosal,4186839,SNOMED,1970-01-01,2099-12-31,
