source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
*10^9/l,0,AURUM_UNIT_STCM,*10^9/l,9444,UCUM,1970-01-01,2099-12-31,
/10,0,AURUM_UNIT_STCM,/10,8662,UCUM,1970-01-01,2099-12-31,
/24,0,AURUM_UNIT_STCM,/24,44777556,UCUM,1970-01-01,2099-12-31,
/d,0,AURUM_UNIT_STCM,/d,44777556,UCUM,1970-01-01,2099-12-31,
/day,0,AURUM_UNIT_STCM,/day,44777556,UCUM,1970-01-01,2099-12-31,
/day (past),0,AURUM_UNIT_STCM,/day (past),44777556,UCUM,1970-01-01,2099-12-31,
/hour,0,AURUM_UNIT_STCM,/hour,44777557,UCUM,1970-01-01,2099-12-31,
/minute,0,AURUM_UNIT_STCM,/minute,8541,UCUM,1970-01-01,2099-12-31,
/mm*3,0,AURUM_UNIT_STCM,/mm*3,8785,UCUM,1970-01-01,2099-12-31,
/second,0,AURUM_UNIT_STCM,/second,44777659,UCUM,1970-01-01,2099-12-31,
/week,0,AURUM_UNIT_STCM,/week,44777559,UCUM,1970-01-01,2099-12-31,
/wk,0,AURUM_UNIT_STCM,/wk,8511,UCUM,1970-01-01,2099-12-31,
/year,0,AURUM_UNIT_STCM,/year,44777560,UCUM,1970-01-01,2099-12-31,
{units}/wk,0,AURUM_UNIT_STCM,{units}/wk,44777559,UCUM,1970-01-01,2099-12-31,
10 ^9/L,0,AURUM_UNIT_STCM,10 ^9/L,9444,UCUM,1970-01-01,2099-12-31,
10 12/L,0,AURUM_UNIT_STCM,10 12/L,8734,UCUM,1970-01-01,2099-12-31,
10*12 cells/L,0,AURUM_UNIT_STCM,10*12 cells/L,8734,UCUM,1970-01-01,2099-12-31,
10 9/L,0,AURUM_UNIT_STCM,10 9/L,9444,UCUM,1970-01-01,2099-12-31,
10**9/L,0,AURUM_UNIT_STCM,10**9/L,9444,UCUM,1970-01-01,2099-12-31,
10*9 cells/L,0,AURUM_UNIT_STCM,10*9 cells/L,44777588,UCUM,1970-01-01,2099-12-31,
10/12 l,0,AURUM_UNIT_STCM,10/12 l,8734,UCUM,1970-01-01,2099-12-31,
10/12L,0,AURUM_UNIT_STCM,10/12L,8734,UCUM,1970-01-01,2099-12-31,
10^12/l,0,AURUM_UNIT_STCM,10^12/l,8734,UCUM,1970-01-01,2099-12-31,
