source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
1-Examination Findings-Blood pressure-Cuff,0,GOLD_ADD_ETYPE_STCM,1-Examination Findings-Blood pressure-Cuff,36716458,SNOMED,1970-01-01,2099-12-31,
1-Examination Findings-Blood pressure-Diastolic,0,GOLD_ADD_ETYPE_STCM,1-Examination Findings-Blood pressure-Diastolic,3012888,LOINC,1996-09-06,2099-12-31,
1-Examination Findings-Blood pressure-Diastolic-Sitting,0,GOLD_ADD_ETYPE_STCM,1-Examination Findings-Blood pressure-Diastolic-Sitting,4248524,SNOMED,2004-01-31,2099-12-31,
1-Examination Findings-Blood pressure-Diastolic-Lying down,0,GOLD_ADD_ETYPE_STCM,1-Examination Findings-Blood pressure-Diastolic-Lying down,4236281,SNOMED,2004-01-31,2099-12-31,
1-Examination Findings-Blood pressure-Diastolic-Standing,0,GOLD_ADD_ETYPE_STCM,1-Examination Findings-Blood pressure-Diastolic-Standing,4268883,SNOMED,2003-07-31,2099-12-31,
1-Examination Findings-Blood pressure-Korotkoff,0,GOLD_ADD_ETYPE_STCM,1-Examination Findings-Blood pressure-Korotkoff,4311672,SNOMED,1970-01-01,2099-12-31,
1-Examination Findings-Blood pressure-Systolic,0,GOLD_ADD_ETYPE_STCM,1-Examination Findings-Blood pressure-Systolic,3004249,LOINC,1996-09-06,2099-12-31,
1-Examination Findings-Blood pressure-Systolic-Sitting,0,GOLD_ADD_ETYPE_STCM,1-Examination Findings-Blood pressure-Systolic-Sitting,4232915,SNOMED,2004-01-31,2099-12-31,
1-Examination Findings-Blood pressure-Systolic-Lying down,0,GOLD_ADD_ETYPE_STCM,1-Examination Findings-Blood pressure-Systolic-Lying down,4248525,SNOMED,2004-01-31,2099-12-31,
1-Examination Findings-Blood pressure-Systolic-Standing,0,GOLD_ADD_ETYPE_STCM,1-Examination Findings-Blood pressure-Systolic-Standing,4292062,SNOMED,2003-07-31,2099-12-31,
112-Child Health Surveillance-CHS Apgar score at 1 minute -Apgar score at 1 minute,0,GOLD_ADD_ETYPE_STCM,112-Child Health Surveillance-CHS Apgar score at 1 minute -Apgar score at 1 minute,4014304,SNOMED,1970-01-01,2099-12-31,
114-Maternity-Pregnancy outcome-Birth status,0,GOLD_ADD_ETYPE_STCM,114-Maternity-Pregnancy outcome-Birth status,4264823,SNOMED,1970-01-01,2099-12-31,
