source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
1,0,GOLD_COUNTRY_STCM,North East,42035287,OSM,1970-01-01,2099-12-31,
2,0,GOLD_COUNTRY_STCM,North West,42035287,OSM,1970-01-01,2099-12-31,
3,0,GOLD_COUNTRY_STCM,Yorkshire & The Humber,42035287,OSM,1970-01-01,2099-12-31,
4,0,GOLD_COUNTRY_STCM,East Midlands,42035287,OSM,1970-01-01,2099-12-31,
5,0,GOLD_COUNTRY_STCM,West Midlands,42035287,OSM,1970-01-01,2099-12-31,
6,0,GOLD_COUNTRY_STCM,East of England,42035287,OSM,1970-01-01,2099-12-31,
7,0,GOLD_COUNTRY_STCM,London,42035287,OSM,1970-01-01,2099-12-31,
8,0,GOLD_COUNTRY_STCM,South East,42035287,OSM,1970-01-01,2099-12-31,
9,0,GOLD_COUNTRY_STCM,South West,42035287,OSM,1970-01-01,2099-12-31,
10,0,GOLD_COUNTRY_STCM,Wales,42034589,OSM,1970-01-01,2099-12-31,
11,0,GOLD_COUNTRY_STCM,Scotland,42035289,OSM,1970-01-01,2099-12-31,
12,0,GOLD_COUNTRY_STCM,Northern Ireland,42035288,OSM,1970-01-01,2099-12-31,
