source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
11,0,HESAPC_ADMIMETH_STCM,Waiting list,4148887,SNOMED,2002-01-31,2099-12-31,
12,0,HESAPC_ADMIMETH_STCM,Booked,4085800,SNOMED,2002-01-31,2099-12-31,
13,0,HESAPC_ADMIMETH_STCM,Planned,44802446,SNOMED,2002-01-31,2099-12-31,
21,0,HESAPC_ADMIMETH_STCM,A&E,4248556,SNOMED,2002-01-31,2099-12-31,
22,0,HESAPC_ADMIMETH_STCM,GP-requested,44796496,SNOMED,2009-04-01,2099-12-31,
23,0,HESAPC_ADMIMETH_STCM,Bed bureau,764740,SNOMED,2009-04-01,2099-12-31,
24,0,HESAPC_ADMIMETH_STCM,Consultant clinic,4014829,SNOMED,2002-01-31,2099-12-31,
25,0,HESAPC_ADMIMETH_STCM,Crisis Team,4305724,SNOMED,2002-01-31,2099-12-31,
28,0,HESAPC_ADMIMETH_STCM,Other emergency means,4190569,SNOMED,2003-01-31,2099-12-31,
2B,0,HESAPC_ADMIMETH_STCM,Emergency transfer,4057377,SNOMED,2002-01-31,2099-12-31,
2C,0,HESAPC_ADMIMETH_STCM,Home birth,1340204,OMOP Extension,2022-05-06,2099-12-31,
2D,0,HESAPC_ADMIMETH_STCM,Other emergency admission,4079617,SNOMED,2002-01-31,2099-12-31,
31,0,HESAPC_ADMIMETH_STCM,Ante-partum,4081196,SNOMED,2002-01-31,2099-12-31,
32,0,HESAPC_ADMIMETH_STCM,Post-partum,4015149,SNOMED,2002-01-31,2099-12-31,
81,0,HESAPC_ADMIMETH_STCM,Non-emergency transfer,763917,SNOMED,2015-09-01,2099-12-31,
82,0,HESAPC_ADMIMETH_STCM,In-Hospital Birth,4014291,SNOMED,2002-01-31,2099-12-31,
83,0,HESAPC_ADMIMETH_STCM,Non-Hospital Birth(except home),40484248,SNOMED,2010-01-31,2099-12-31,
84,0,HESAPC_ADMIMETH_STCM,HSPH admission,44812116,SNOMED,2004-01-31,2099-12-31,
89,0,HESAPC_ADMIMETH_STCM,HSPH Waiting List,4084994,SNOMED,2002-01-31,2099-12-31,
98,0,HESAPC_ADMIMETH_STCM,Not applicable,4294169,SNOMED,2003-01-31,2099-12-31,
99,0,HESAPC_ADMIMETH_STCM,Not known (validation error),4129922,SNOMED,2002-01-31,2099-12-31,
