source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
108,0,HES_SPEC_STCM,Spinal Surgery,45757046,ABMS,1970-01-01,2099-12-31,
109,0,HES_SPEC_STCM,Bariatric Surgery Service,38003864,NUCC,1970-01-01,2099-12-31,
111,0,HES_SPEC_STCM,Orthopaedic Service,38004465,Medicare Specialty,1970-01-01,2099-12-31,
113,0,HES_SPEC_STCM,Endocrine Surgery Service,4147266,SNOMED,1970-01-01,2099-12-31,
115,0,HES_SPEC_STCM,Trauma Surgery Service,38004016,NUCC,1970-01-01,2099-12-31,
190,0,HES_SPEC_STCM,Anaesthetics,38004450,Medicare Specialty,1970-01-01,2099-12-31,
200,0,HES_SPEC_STCM,Aviation and Space Medicine,3657577,SNOMED,1920-09-30,2099-12-31,
223,0,HES_SPEC_STCM,Paediatric Epilepsy,45756772,ABMS,1970-01-01,2099-12-31,
230,0,HES_SPEC_STCM,Paediatric Clinical Pharmacology Service,3657590,SNOMED,2020-09-30,2099-12-31,
240,0,HES_SPEC_STCM,Paediatric Palliative Medicine Service,3657592,SNOMED,2020-09-30,2099-12-31,
250,0,HES_SPEC_STCM,Paediatric Hepatology Service,3657593,SNOMED,2020-09-30,2099-12-31,
263,0,HES_SPEC_STCM,Paediatric Diabetic Medicine,44808044,SNOMED,2012-04-01,2099-12-31,
264,0,HES_SPEC_STCM,Paediatric Cystic Fibrosis,44808040,SNOMED,2012-04-01,2099-12-31,
270,0,HES_SPEC_STCM,Paediatric Emergency Medicine Service,45756808,ABMS,1970-01-01,2099-12-31,
324,0,HES_SPEC_STCM,Anticoagulant Service,44807945,SNOMED,2012-04-01,2099-12-31,
327,0,HES_SPEC_STCM,Cardiac Rehabilitation,37117769,SNOMED,2017-07-31,2099-12-31,
328,0,HES_SPEC_STCM,Stroke Medicine,44814160,SNOMED,2012-04-01,2099-12-31,
329,0,HES_SPEC_STCM,Transient Ischaemic Attack,44811325,SNOMED,2014-04-01,2099-12-31,
331,0,HES_SPEC_STCM,Congenital Heart Disease Service,45756748,ABMS,1970-01-01,2099-12-31,
333,0,HES_SPEC_STCM,Rare Disease Service,3657597,SNOMED,2020-09-30,2099-12-31,
335,0,HES_SPEC_STCM,Inherited Metabolic Medicine Service,3657571,SNOMED,2020-09-30,2099-12-31,
340,0,HES_SPEC_STCM,Respiratory Medicine,38004472,Medicare Specialty,1970-01-01,2099-12-31,
341,0,HES_SPEC_STCM,Respiratory Physiology,44808148,SNOMED,2012-04-01,2099-12-31,
342,0,HES_SPEC_STCM,Programmed Pulmonary Rehabilitation,38004098,NUCC,1970-01-01,2099-12-31,
343,0,HES_SPEC_STCM,Adult Cystic Fibrosis Service,44811436,SNOMED,2014-04-01,2099-12-31,
344,0,HES_SPEC_STCM,Complex Specialised Rehabilitation Service,38004063,NUCC,1970-01-01,2099-12-31,
345,0,HES_SPEC_STCM,Specialist Rehabilitation Service,38004063,NUCC,1970-01-01,2099-12-31,
346,0,HES_SPEC_STCM,Local Specialist Rehabilitation Service,38004063,NUCC,1970-01-01,2099-12-31,
347,0,HES_SPEC_STCM,Sleep Medicine Service,903275,Medicare Specialty,1970-01-01,2099-12-31,
348,0,HES_SPEC_STCM,Post-COVID-19 Syndrome Service,608506,SNOMED,2021-01-20,2099-12-31,
431,0,HES_SPEC_STCM,Orthogeriatric Medicine Service,3657573,SNOMED,2020-09-30,2099-12-31,
461,0,HES_SPEC_STCM,Ophthalmic and Vision Science Service,38003705,NUCC,1970-01-01,2099-12-31,
505,0,HES_SPEC_STCM,Fetal Medicine Service,45756780,ABMS,1970-01-01,2099-12-31,
600,0,HES_SPEC_STCM,General Medical Practice,38004446,Medicare Specialty,1970-01-01,2099-12-31,
657,0,HES_SPEC_STCM,Prosthetics,38004685,Medicare Specialty,1970-01-01,2099-12-31,
658,0,HES_SPEC_STCM,Orthotics,38004684,Medicare Specialty,1970-01-01,2099-12-31,
659,0,HES_SPEC_STCM,Drama Therapy,44804147,SNOMED,2010-10-01,2099-12-31,
660,0,HES_SPEC_STCM,Art Therapy,38004038,NUCC,1970-01-01,2099-12-31,
661,0,HES_SPEC_STCM,Music Therapy,38004070,NUCC,1970-01-01,2099-12-31,
662,0,HES_SPEC_STCM,Optometry,38004481,Medicare Specialty,1970-01-01,2099-12-31,
663,0,HES_SPEC_STCM,Podiatric Surgery,38004030,NUCC,1970-01-01,2099-12-31,
670,0,HES_SPEC_STCM,Urological Physiology Service,3657569,SNOMED,2020-09-30,2099-12-31,
673,0,HES_SPEC_STCM,Vascular Physiology Service,38004496,Medicare Specialty,1970-01-01,2099-12-31,
675,0,HES_SPEC_STCM,Cardiac Physiology Service,38004497,Medicare Specialty,1970-01-01,2099-12-31,
677,0,HES_SPEC_STCM,Gastrointestinal Physiology Service,3657572,SNOMED,2020-09-30,2099-12-31,
725,0,HES_SPEC_STCM,Mental Health Recovery And Rehabilitation Service,38003653,NUCC,1970-01-01,2099-12-31,
726,0,HES_SPEC_STCM,Mental Health Dual Diagnosis Service,44811426,SNOMED,2014-04-01,2099-12-31,
727,0,HES_SPEC_STCM,Dementia Assessment Service,44811432,SNOMED,2014-04-01,2099-12-31,
730,0,HES_SPEC_STCM,Neuropsychiatry Service,38004505,Medicare Specialty,1970-01-01,2099-12-31,
920,0,HES_SPEC_STCM,Diabetic Education Service,42536211,SNOMED,2018-01-31,2099-12-31,
