source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
WHITE BRITISH,0,NCRAS_ETHNIC_STCM,White,8527,Race,1970-01-01,2099-12-31,
WHITE IRISH,0,NCRAS_ETHNIC_STCM,White,8527,Race,1970-01-01,2099-12-31,
ANY OTHER WHITE BACKGROUND,0,NCRAS_ETHNIC_STCM,White,8527,Race,1970-01-01,2099-12-31,
BLACK CARIBBEAN,0,NCRAS_ETHNIC_STCM,Black_Caribbean,38003598,Race,1970-01-01,2099-12-31,
BLACK AFRICAN,0,NCRAS_ETHNIC_STCM,Black_African,38003598,Race,1970-01-01,2099-12-31,
ANY OTHER BLACK BACKGROUND,0,NCRAS_ETHNIC_STCM,Black_Other,38003598,Race,1970-01-01,2099-12-31,
ASIAN INDIAN,0,NCRAS_ETHNIC_STCM,Indian,38003574,Race,1970-01-01,2099-12-31,
ASIAN PAKISTANI,0,NCRAS_ETHNIC_STCM,Pakistani,38003589,Race,1970-01-01,2099-12-31,
ASIAN BANGLADESHI,0,NCRAS_ETHNIC_STCM,Bangladeshi,38003575,Race,2003-01-31,2099-12-31,
ANY OTHER ASIAN BACKGROUND,0,NCRAS_ETHNIC_STCM,Other_Asian,8515,Race,2003-01-31,2099-12-31,
CHINESE,0,NCRAS_ETHNIC_STCM,Chinese,38003579,Race,1970-01-01,2099-12-31,
