source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
5-FLUOROURACIL,0,NCRAS_TREATMENT_CHEMO_STCM,5-FLUOROURACIL,955632,RxNorm,1970-01-01,2099-12-31,
ADRIAMYCIN,0,NCRAS_TREATMENT_CHEMO_STCM,ADRIAMYCIN,36249240,RxNorm,2016-08-01,2099-12-31,
AKI,0,NCRAS_TREATMENT_CHEMO_STCM,AKI,35807197,HemOnc,2019-05-27,2099-12-31,
ALENDRONIC ACID,0,NCRAS_TREATMENT_CHEMO_STCM,ALENDRONIC ACID,1557272,RxNorm,1970-01-01,2099-12-31,
ANTHRACYCLINE,0,NCRAS_TREATMENT_CHEMO_STCM,ANTHRACYCLINE,35807214,HemOnc,2019-05-27,2099-12-31,
ANTHRACYCLINE NOS,0,NCRAS_TREATMENT_CHEMO_STCM,ANTHRACYCLINE NOS,35807214,HemOnc,2019-05-27,2099-12-31,
AROMATASE INHIBITOR NOS,0,NCRAS_TREATMENT_CHEMO_STCM,AROMATASE INHIBITOR NOS,35807245,HemOnc,2019-05-27,2099-12-31,
BCG,0,NCRAS_TREATMENT_CHEMO_STCM,BCG,43291286,RxNorm Extension,2017-08-24,2099-12-31,
BISPHOSPHONATES NOS,0,NCRAS_TREATMENT_CHEMO_STCM,BISPHOSPHONATES NOS,35807233,HemOnc,2019-05-27,2099-12-31,
CAELYX,0,NCRAS_TREATMENT_CHEMO_STCM,CAELYX,36928523,RxNorm Extension,2023-05-22,2099-12-31,
CHEMOTHERAPY NOS,0,NCRAS_TREATMENT_CHEMO_STCM,CHEMOTHERAPY NOS,4273629,SNOMED,2002-01-31,2099-12-31,
CHEMORADIOTHERAPY,0,NCRAS_TREATMENT_CHEMO_STCM,CHEMORADIOTHERAPY,45766298,SNOMED,2014-07-31,2099-12-31,
DIBROMODULCITOL,0,NCRAS_TREATMENT_CHEMO_STCM,DIBROMODULCITOL,36859211,RxNorm Extension,1970-01-01,2099-12-31,
DHA-PACLITAXEL,0,NCRAS_TREATMENT_CHEMO_STCM,DHA-PACLITAXEL,1378382,RxNorm,1970-01-01,2099-12-31,
ENDOCRINE THERAPY NOS,0,NCRAS_TREATMENT_CHEMO_STCM,ENDOCRINE THERAPY NOS,35803407,HemOnc,2019-05-27,2099-12-31,
ESTRAMUSTINE PHOSPHATE,0,NCRAS_TREATMENT_CHEMO_STCM,ESTRAMUSTINE PHOSPHATE,1349025,RxNorm,1970-01-01,2099-12-31,
FOLINIC ACID,0,NCRAS_TREATMENT_CHEMO_STCM,FOLINIC ACID,1388796,RxNorm,1970-01-01,2099-12-31,
G-CSF,0,NCRAS_TREATMENT_CHEMO_STCM,G-CSF,1304850,RxNorm,1970-01-01,2099-12-31,
HORMONE THERAPY NOS,0,NCRAS_TREATMENT_CHEMO_STCM,HORMONE THERAPY NOS,4061650,SNOMED,2002-01-31,2099-12-31,
HYDROXYCARBAMIDE,0,NCRAS_TREATMENT_CHEMO_STCM,HYDROXYCARBAMIDE,1377141,RxNorm,1970-01-01,2099-12-31,
HYDROXYPROGESTERONE CAPROATE,0,NCRAS_TREATMENT_CHEMO_STCM,HYDROXYPROGESTERONE CAPROATE,19077143,RxNorm,1970-01-01,2099-12-31,
IBANDRONIC ACID,0,NCRAS_TREATMENT_CHEMO_STCM,IBANDRONIC ACID,1512480,RxNorm,1970-01-01,2099-12-31,
IMMUNOTHERAPY NOS,0,NCRAS_TREATMENT_CHEMO_STCM,IMMUNOTHERAPY NOS,4295112,SNOMED,2002-01-31,2099-12-31,
LDE225,0,NCRAS_TREATMENT_CHEMO_STCM,LDE225,46275491,RxNorm,2015-09-08,2099-12-31,
LEUPRORELIN,0,NCRAS_TREATMENT_CHEMO_STCM,LEUPRORELIN,1351541,RxNorm,1970-01-01,2099-12-31,
LIPOSOMAL DOXORUBICIN,0,NCRAS_TREATMENT_CHEMO_STCM,LIPOSOMAL DOXORUBICIN,1338512,RxNorm,1970-01-01,2099-12-31,
