source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
Active Monitoring,0,NCRAS_TREATMENT_EVENTTYPE_STCM,Active Monitoring,35806824,HemOnc,2019-05-27,2099-12-31,
All Treatment Declined,0,NCRAS_TREATMENT_EVENTTYPE_STCM,All Treatment Declined,42537563,SNOMED,2018-01-31,2099-12-31,
Anti-Cancer Drug Regimen (other),0,NCRAS_TREATMENT_EVENTTYPE_STCM,Anti-Cancer Drug Regimen (other),4216752,SNOMED,2005-07-31,2099-12-31,
Chemoradiotherapy,0,NCRAS_TREATMENT_EVENTTYPE_STCM,Chemoradiotherapy,45766298,SNOMED,2014-07-31,2099-12-31,
Chemotherapy,0,NCRAS_TREATMENT_EVENTTYPE_STCM,Chemotherapy,4273629,SNOMED,2002-01-31,2099-12-31,
CT - Other,0,NCRAS_TREATMENT_EVENTTYPE_STCM,CT - Other,4273629,SNOMED,2003-01-31,2099-12-31,
Cytotoxic Chemotherapy,0,NCRAS_TREATMENT_EVENTTYPE_STCM,Cytotoxic Chemotherapy,4273629,SNOMED,2002-01-31,2099-12-31,
Hormone Therapy,0,NCRAS_TREATMENT_EVENTTYPE_STCM,Hormone Therapy,4061650,SNOMED,2002-01-31,2099-12-31,
Imaging,0,NCRAS_TREATMENT_EVENTTYPE_STCM,Imaging,4180938,SNOMED,2002-01-31,2099-12-31,
Immunotherapy,0,NCRAS_TREATMENT_EVENTTYPE_STCM,Immunotherapy,4295112,SNOMED,2002-01-31,2099-12-31,
IMMUNOTHERAPY NOS,0,NCRAS_TREATMENT_EVENTTYPE_STCM,IMMUNOTHERAPY NOS,4295112,SNOMED,2002-01-31,2099-12-31,
Non-Specialist Palliative Care,0,NCRAS_TREATMENT_EVENTTYPE_STCM,Non-Specialist Palliative Care,4176643,SNOMED,2002-01-31,2099-12-31,
Radioisotope Therapy,0,NCRAS_TREATMENT_EVENTTYPE_STCM,Radioisotope Therapy,4161415,SNOMED,2003-01-31,2099-12-31,
Radiosurgery,0,NCRAS_TREATMENT_EVENTTYPE_STCM,Radiosurgery,4021989,SNOMED,2002-01-31,2099-12-31,
Radiotherapy,0,NCRAS_TREATMENT_EVENTTYPE_STCM,Radiotherapy,1242725,SNOMED,2023-12-01,2099-12-31,
RT - Brachytherapy,0,NCRAS_TREATMENT_EVENTTYPE_STCM,Brachytherapy,40317890,SNOMED,2018-07-31,2099-12-31,
RT - Other/NK,0,NCRAS_TREATMENT_EVENTTYPE_STCM,RT - Other/NK,1242725,SNOMED,2023-12-01,2099-12-31,
RT - Teletherapy,0,NCRAS_TREATMENT_EVENTTYPE_STCM,RT - Teletherapy,4141448,SNOMED,2002-01-31,2099-12-31,
Specialist Palliative Care,0,NCRAS_TREATMENT_EVENTTYPE_STCM,Specialist Palliative Care,4176643,SNOMED,2002-01-31,2099-12-31,
Surgery etc - type unknown,0,NCRAS_TREATMENT_EVENTTYPE_STCM,Surgery etc - type unknown,4301351,SNOMED,2003-01-31,2099-12-31,
Surgery - curative,0,NCRAS_TREATMENT_EVENTTYPE_STCM,Surgery - curative,4301351,SNOMED,2003-01-31,2099-12-31,
Surgery - not curative,0,NCRAS_TREATMENT_EVENTTYPE_STCM,Surgery - not curative,4301351,SNOMED,2003-01-31,2099-12-31,
