source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
1,0,NCRAS_TREATMENT_IMAGING_STCM,Standard Radiography,4178367,SNOMED,2002-01-31,2099-12-31,
1A,0,NCRAS_TREATMENT_IMAGING_STCM,Chest X-Ray,4163872,SNOMED,2003-07-31,2099-12-31,
1B,0,NCRAS_TREATMENT_IMAGING_STCM,Sinus X-Rays,1073008,SNOMED,2024-04-01,2099-12-31,
1C,0,NCRAS_TREATMENT_IMAGING_STCM,Mastoid Views,1075161,SNOMED,2024-04-01,2099-12-31,
1D,0,NCRAS_TREATMENT_IMAGING_STCM,Orthopantomogram (OPG),4233227,SNOMED,2002-01-31,2099-12-31,
1E,0,NCRAS_TREATMENT_IMAGING_STCM,Skull Base X-Rays,4056684,SNOMED,2002-01-31,2099-12-31,
1F,0,NCRAS_TREATMENT_IMAGING_STCM,Angiography,4299523,SNOMED,2002-01-31,2099-12-31,
1G,0,NCRAS_TREATMENT_IMAGING_STCM,Intravenous Urography,4138256,SNOMED,2002-01-31,2099-12-31,
1H,0,NCRAS_TREATMENT_IMAGING_STCM,Retrograde Urography,4226692,SNOMED,2004-01-31,2099-12-31,
1K,0,NCRAS_TREATMENT_IMAGING_STCM,Bone Angiography,4141657,SNOMED,2007-07-31,2099-12-31,
1L,0,NCRAS_TREATMENT_IMAGING_STCM,Soft Tissue Angiography,4190496,SNOMED,2005-01-31,2099-12-31,
2,0,NCRAS_TREATMENT_IMAGING_STCM,CT Scan with unspecified contrast,1073730,SNOMED,2024-06-01,2099-12-31,
2A,0,NCRAS_TREATMENT_IMAGING_STCM,CT scan with contrast,1073730,SNOMED,2024-06-01,2099-12-31,
2B,0,NCRAS_TREATMENT_IMAGING_STCM,CT scan without contrast,4163903,SNOMED,2003-07-31,2099-12-31,
3,0,NCRAS_TREATMENT_IMAGING_STCM,MRI scan with unspecified contrast,4198856,SNOMED,2002-01-31,2099-12-31,
3A,0,NCRAS_TREATMENT_IMAGING_STCM,MRI scan with contrast,4198856,SNOMED,2002-01-31,2099-12-31,
3B,0,NCRAS_TREATMENT_IMAGING_STCM,MRI scan without contrast,4231864,SNOMED,2002-01-31,2099-12-31,
3C,0,NCRAS_TREATMENT_IMAGING_STCM,MRI scan cholangiography,42535557,SNOMED,2018-01-31,2099-12-31,
4,0,NCRAS_TREATMENT_IMAGING_STCM,PET Scan,4305790,SNOMED,2002-01-31,2099-12-31,
5,0,NCRAS_TREATMENT_IMAGING_STCM,Ultrasound,4037672,SNOMED,2002-01-31,2099-12-31,
5A,0,NCRAS_TREATMENT_IMAGING_STCM,Transabdominal ultrasound,4261497,SNOMED,2002-01-31,2099-12-31,
5B,0,NCRAS_TREATMENT_IMAGING_STCM,Transvaginal ultrasound,4027510,SNOMED,2002-01-31,2099-12-31,
5C,0,NCRAS_TREATMENT_IMAGING_STCM,Doppler ultrasound,35622931,SNOMED,2018-07-31,2099-12-31,
5D,0,NCRAS_TREATMENT_IMAGING_STCM,Transrectal ultrasound,2211770,CPT4,1970-01-01,2099-12-31,
5E,0,NCRAS_TREATMENT_IMAGING_STCM,Endoscopic ultrasound,42872565,SNOMED,2012-07-31,2099-12-31,
5F,0,NCRAS_TREATMENT_IMAGING_STCM,Laparoscopic ultrasound,4151584,SNOMED,2002-01-31,2099-12-31,
6,0,NCRAS_TREATMENT_IMAGING_STCM,Nuclear medicine imaging,4160914,SNOMED,2002-07-31,2099-12-31,
6A,0,NCRAS_TREATMENT_IMAGING_STCM,Radio-isotope bone scan,4217238,SNOMED,2002-01-31,2099-12-31,
6B,0,NCRAS_TREATMENT_IMAGING_STCM,Other radio-isotope,4160914,SNOMED,2002-07-31,2099-12-31,
6C,0,NCRAS_TREATMENT_IMAGING_STCM,Ventilation/Perfusion scan,44798684,SNOMED,2008-04-01,2099-12-31,
7,0,NCRAS_TREATMENT_IMAGING_STCM,Mammography,4324693,SNOMED,2002-01-31,2099-12-31,
8,0,NCRAS_TREATMENT_IMAGING_STCM,Barium,4346067,SNOMED,2002-01-31,2099-12-31,
8A,0,NCRAS_TREATMENT_IMAGING_STCM,Barium Enema,4060768,SNOMED,2002-01-31,2099-12-31,
8B,0,NCRAS_TREATMENT_IMAGING_STCM,Barium Swallow,4059066,SNOMED,2002-01-31,2099-12-31,
9,0,NCRAS_TREATMENT_IMAGING_STCM,Lymphoscintigraphy,4060609,SNOMED,2002-01-31,2099-12-31,
99,0,NCRAS_TREATMENT_IMAGING_STCM,Other,44514208,OPCS4,1970-01-01,2099-12-31,
C02C,0,NCRAS_TREATMENT_IMAGING_STCM,Virtual Colonoscopy,4303376,SNOMED,2006-01-31,2099-12-31,
C08U,0,NCRAS_TREATMENT_IMAGING_STCM,Urography (IV and retrograde),40482194,SNOMED,2009-07-31,2099-12-31,
C09X,0,NCRAS_TREATMENT_IMAGING_STCM,Intervention radiography,4178367,SNOMED,2002-01-31,2099-12-31,
CXXX,0,NCRAS_TREATMENT_IMAGING_STCM,Other (COSD),44514208,OPCS4,1970-01-01,2099-12-31,
