source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
N,0,NCRAS_TUMOUR_ER_STCM,ER negative,35919055,NAACCR,1970-01-01,2099-12-31,
P,0,NCRAS_TUMOUR_ER_STCM,ER positive,35919678,NAACCR,1970-01-01,2099-12-31,
0,0,NCRAS_TUMOUR_ER_STCM,ER Allred score 0,35919095,NAACCR,1970-01-01,2099-12-31,
1,0,NCRAS_TUMOUR_ER_STCM,ER Allred score 1,35919804,NAACCR,1970-01-01,2099-12-31,
2,0,NCRAS_TUMOUR_ER_STCM,ER Allred score 2,35919902,NAACCR,1970-01-01,2099-12-31,
3,0,NCRAS_TUMOUR_ER_STCM,ER Allred score 3,35919181,NAACCR,1970-01-01,2099-12-31,
4,0,NCRAS_TUMOUR_ER_STCM,ER Allred score 4,35919373,NAACCR,1970-01-01,2099-12-31,
5,0,NCRAS_TUMOUR_ER_STCM,ER Allred score 5,35919036,NAACCR,1970-01-01,2099-12-31,
6,0,NCRAS_TUMOUR_ER_STCM,ER Allred score 6,35919497,NAACCR,1970-01-01,2099-12-31,
7,0,NCRAS_TUMOUR_ER_STCM,ER Allred score 7,35919196,NAACCR,1970-01-01,2099-12-31,
8,0,NCRAS_TUMOUR_ER_STCM,ER Allred score 8,35919763,NAACCR,1970-01-01,2099-12-31,
