source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
1,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 1,1634826,Cancer Modifier,2022-05-09,2099-12-31,
1A,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 1A,1633471,Cancer Modifier,2022-05-09,2099-12-31,
1A1,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 1A1,1633850,Cancer Modifier,2022-05-09,2099-12-31,
1A2,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 1A2,1635128,Cancer Modifier,2022-05-09,2099-12-31,
1B,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 1B,1633590,Cancer Modifier,2022-05-09,2099-12-31,
1B1,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 1B1,1635463,Cancer Modifier,2022-05-09,2099-12-31,
1B2,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 1B2,1635572,Cancer Modifier,2022-05-09,2099-12-31,
1C,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 1C,1635358,Cancer Modifier,2022-05-09,2099-12-31,
1C1,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 1C1,1633792,Cancer Modifier,2022-05-09,2099-12-31,
1C2,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 1C2,1634475,Cancer Modifier,2022-05-09,2099-12-31,
1C3,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 1C3,1633311,Cancer Modifier,2022-05-09,2099-12-31,
2,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 2,1634127,Cancer Modifier,2022-05-09,2099-12-31,
2A,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 2A,1633317,Cancer Modifier,2022-05-09,2099-12-31,
2A1,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 2A1,1634026,Cancer Modifier,2022-05-09,2099-12-31,
2A2,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 2A2,1633963,Cancer Modifier,2022-05-09,2099-12-31,
2B,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 2B,1635822,Cancer Modifier,2022-05-09,2099-12-31,
2C,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 2,1634127,Cancer Modifier,2022-05-09,2099-12-31,
3,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 3,1634024,Cancer Modifier,2022-05-09,2099-12-31,
3A,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 3A,1634412,Cancer Modifier,2022-05-09,2099-12-31,
3A1,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 3A1,1635742,Cancer Modifier,2022-05-09,2099-12-31,
3A1I,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 3A1(I),1635060,Cancer Modifier,2022-05-09,2099-12-31,
3A1II,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 3A1(II),1633791,Cancer Modifier,2022-05-09,2099-12-31,
3A2,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 3A2,1634108,Cancer Modifier,2022-05-09,2099-12-31,
3B,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 3B,1635339,Cancer Modifier,2022-05-09,2099-12-31,
3BII,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 3B,1635339,Cancer Modifier,2022-05-09,2099-12-31,
3C,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 3C,1633903,Cancer Modifier,2022-05-09,2099-12-31,
3C1,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 3C1,1635141,Cancer Modifier,2022-05-09,2099-12-31,
3C2,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 3C2,1633554,Cancer Modifier,2022-05-09,2099-12-31,
4,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 4,1634306,Cancer Modifier,2022-05-09,2099-12-31,
4A,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 4A,1635588,Cancer Modifier,2022-05-09,2099-12-31,
4B,0,NCRAS_TUMOUR_FIGO_STCM,FIGO Stage 4B,1635186,Cancer Modifier,2022-05-09,2099-12-31,
