source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
bigtumourcount,0,NCRAS_TUMOUR_MODIFIER_STCM,Count of every tumour associated with this e_cr_patid in range C00-97 excluding C44,4078513,SNOMED,2002-01-31,2099-12-31,
chrl_tot_27_03,0,NCRAS_TUMOUR_MODIFIER_STCM,Charlson co-morbidity score over 2 years,42538860,SNOMED,2018-01-31,2099-12-31,
chrl_tot_78_06,0,NCRAS_TUMOUR_MODIFIER_STCM,Charlson co-morbidity score over 6 years,42538860,SNOMED,2018-01-31,2099-12-31,
gleason_combined,0,NCRAS_TUMOUR_MODIFIER_STCM,Gleason combined,619648,SNOMED,2021-07-31,2099-12-31,
nodesexcised,0,NCRAS_TUMOUR_MODIFIER_STCM,The number of local and regional nodes reported as being positive,40479359,SNOMED,2010-01-31,2099-12-31,
nodesinvolved,0,NCRAS_TUMOUR_MODIFIER_STCM,The number of local and regional nodes examined,4156565,SNOMED,2002-07-31,2099-12-31,
tumourcount,0,NCRAS_TUMOUR_MODIFIER_STCM,Count of every tumour associated with this e_cr_patid,4078513,SNOMED,2002-01-31,2099-12-31,
tumoursize,0,NCRAS_TUMOUR_MODIFIER_STCM,"Diameter of a tumour in mm, largest if more than one",4154259,SNOMED,2002-07-31,2099-12-31,
er_status,0,NCRAS_TUMOUR_MODIFIER_STCM,ER status,4307360,SNOMED,2002-07-31,2099-12-31,
er_score,0,NCRAS_TUMOUR_MODIFIER_STCM,ER Allred score,35918819,NAACCR,1970-01-01,2099-12-31,
pr_status,0,NCRAS_TUMOUR_MODIFIER_STCM,PR status,4030384,SNOMED,2002-01-31,2099-12-31,
pr_score,0,NCRAS_TUMOUR_MODIFIER_STCM,PR Allred score,35918626,NAACCR,1970-01-01,2099-12-31,
npi,0,NCRAS_TUMOUR_MODIFIER_STCM,npi,4215959,SNOMED,2005-01-31,2099-12-31,
breslow,0,NCRAS_TUMOUR_MODIFIER_STCM,breslow,37021218,LOINC,2019-06-21,2099-12-31,
