source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
N,0,NCRAS_TUMOUR_PR_STCM,PR negative,35919700,NAACCR,1970-01-01,2099-12-31,
P,0,NCRAS_TUMOUR_PR_STCM,PR positive,35919362,NAACCR,1970-01-01,2099-12-31,
0,0,NCRAS_TUMOUR_PR_STCM,PR Allred score 0,35919026,NAACCR,1970-01-01,2099-12-31,
1,0,NCRAS_TUMOUR_PR_STCM,PR Allred score 1,35919439,NAACCR,1970-01-01,2099-12-31,
2,0,NCRAS_TUMOUR_PR_STCM,PR Allred score 2,35919607,NAACCR,1970-01-01,2099-12-31,
3,0,NCRAS_TUMOUR_PR_STCM,PR Allred score 3,35919054,NAACCR,1970-01-01,2099-12-31,
4,0,NCRAS_TUMOUR_PR_STCM,PR Allred score 4,35919602,NAACCR,1970-01-01,2099-12-31,
5,0,NCRAS_TUMOUR_PR_STCM,PR Allred score 5,35919915,NAACCR,1970-01-01,2099-12-31,
6,0,NCRAS_TUMOUR_PR_STCM,PR Allred score 6,35919748,NAACCR,1970-01-01,2099-12-31,
7,0,NCRAS_TUMOUR_PR_STCM,PR Allred score 7,35919716,NAACCR,1970-01-01,2099-12-31,
8,0,NCRAS_TUMOUR_PR_STCM,PR Allred score 8,35919200,NAACCR,1970-01-01,2099-12-31,
