source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
1/C500,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,Cancers detected by national screening programme/Breast,44811954,SNOMED,2004-01-31,2099-12-31,
1/C501,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,Cancers detected by national screening programme/Breast,44811954,SNOMED,2004-01-31,2099-12-31,
1/C502,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,Cancers detected by national screening programme/Breast,44811954,SNOMED,2004-01-31,2099-12-31,
1/C503,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,Cancers detected by national screening programme/Breast,44811954,SNOMED,2004-01-31,2099-12-31,
1/C504,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,Cancers detected by national screening programme/Breast,44811954,SNOMED,2004-01-31,2099-12-31,
1/C505,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,Cancers detected by national screening programme/Breast,44811954,SNOMED,2004-01-31,2099-12-31,
1/C506,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,Cancers detected by national screening programme/Breast,44811954,SNOMED,2004-01-31,2099-12-31,
1/C508,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,Cancers detected by national screening programme/Breast,44811954,SNOMED,2004-01-31,2099-12-31,
1/C509,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,Cancers detected by national screening programme/Breast,44811954,SNOMED,2004-01-31,2099-12-31,
1/D050,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,Cancers detected by national screening programme/Breast,44811954,SNOMED,2004-01-31,2099-12-31,
1/D051,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,Cancers detected by national screening programme/Breast,44811954,SNOMED,2004-01-31,2099-12-31,
1/D057,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,Cancers detected by national screening programme/Breast,44811954,SNOMED,2004-01-31,2099-12-31,
1/D059,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,Cancers detected by national screening programme/Breast,44811954,SNOMED,2004-01-31,2099-12-31,
1/D486,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,Cancers detected by national screening programme/Breast,44811954,SNOMED,2004-01-31,2099-12-31,
1/C530,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,Cancers detected by national screening programme/Cervix,4064913,SNOMED,2002-01-31,2099-12-31,
1/C539,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,Cancers detected by national screening programme/Cervix,4064913,SNOMED,2002-01-31,2099-12-31,
1/C541,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,Cancers detected by national screening programme/Cervix,4064913,SNOMED,2002-01-31,2099-12-31,
1/D069,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,Cancers detected by national screening programme/Cervix,4064913,SNOMED,2002-01-31,2099-12-31,
SC Screening Detected Cancer/C500,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,SC Screening Detected Cancer/Breast,44811954,SNOMED,2004-01-31,2099-12-31,
SC Screening Detected Cancer/C501,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,SC Screening Detected Cancer/Breast,44811954,SNOMED,2004-01-31,2099-12-31,
SC Screening Detected Cancer/C502,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,SC Screening Detected Cancer/Breast,44811954,SNOMED,2004-01-31,2099-12-31,
SC Screening Detected Cancer/C503,0,NCRAS_TUMOUR_SCREEN_SITE_STCM,SC Screening Detected Cancer/Breast,44811954,SNOMED,2004-01-31,2099-12-31,
