source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
5001,0,NCRAS_TUMOUR_SCREEN_STCM,Cervix: Screen Detected,4064913,SNOMED,2002-01-31,2099-12-31,
5003,0,NCRAS_TUMOUR_SCREEN_STCM,"Cervix: Screen Detected, delayed",4064913,SNOMED,2002-01-31,2099-12-31,
SD,0,NCRAS_TUMOUR_SCREEN_STCM,Screen detected (after routine smear resulting in suspend code but <=6mths after),4064913,SNOMED,2002-01-31,2099-12-31,
SDD,0,NCRAS_TUMOUR_SCREEN_STCM,Screen detected delayed (after routine smear resulting in suspend code but >6mths after),4064913,SNOMED,2002-01-31,2099-12-31,
6001,0,NCRAS_TUMOUR_SCREEN_STCM,Breast: Screen Detected,44811954,SNOMED,2004-01-31,2099-12-31,
7001,0,NCRAS_TUMOUR_SCREEN_STCM,Bowel: Screen Detected,44791581,SNOMED,2007-10-01,2099-12-31,
7002,0,NCRAS_TUMOUR_SCREEN_STCM,Bowel: Screen Detected (Extended 1 Month),44791581,SNOMED,2007-10-01,2099-12-31,
7003,0,NCRAS_TUMOUR_SCREEN_STCM,Bowel: Screen Detected (Extended 2 Months),44791581,SNOMED,2007-10-01,2099-12-31,
7004,0,NCRAS_TUMOUR_SCREEN_STCM,Bowel: Screen Detected (Extended 3 Months),44791581,SNOMED,2007-10-01,2099-12-31,
7012,0,NCRAS_TUMOUR_SCREEN_STCM,Bowel: Surveillance Detected,44791581,SNOMED,2007-10-01,2099-12-31,
