source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
A,0,NCRAS_TUMOUR_STAGE_BEST_STCM,Binet Stage A,1635315,Cancer Modifier,2022-05-09,2099-12-31,
B,0,NCRAS_TUMOUR_STAGE_BEST_STCM,Binet Stage B,1635179,Cancer Modifier,2022-05-09,2099-12-31,
C,0,NCRAS_TUMOUR_STAGE_BEST_STCM,Binet Stage C,1635062,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-STAGE-2S,0,NCRAS_TUMOUR_STAGE_BEST_STCM,AJCC/UICC-STAGE-2S,1634209,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-STAGE-3E,0,NCRAS_TUMOUR_STAGE_BEST_STCM,AJCC/UICC-STAGE-3E,1633650,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-STAGE-3S,0,NCRAS_TUMOUR_STAGE_BEST_STCM,AJCC/UICC-STAGE-3S,1633650,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-STAGE-4S,0,NCRAS_TUMOUR_STAGE_BEST_STCM,AJCC/UICC-STAGE-4S,1633308,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-STAGE-?,0,NCRAS_TUMOUR_STAGE_BEST_STCM,AJCC/UICC-STAGE-?,35919533,NAACCR,1970-01-01,2099-12-31,
AJCC/UICC-STAGE-6,0,NCRAS_TUMOUR_STAGE_BEST_STCM,AJCC/UICC-STAGE-6,35919533,NAACCR,1970-01-01,2099-12-31,
AJCC/UICC-STAGE-U,0,NCRAS_TUMOUR_STAGE_BEST_STCM,AJCC/UICC-STAGE-U,35919533,NAACCR,1970-01-01,2099-12-31,
AJCC/UICC-STAGE-X,0,NCRAS_TUMOUR_STAGE_BEST_STCM,AJCC/UICC-STAGE-X,35919533,NAACCR,1970-01-01,2099-12-31,
AJCC/UICC-STAGE-&,0,NCRAS_TUMOUR_STAGE_BEST_STCM,AJCC/UICC-STAGE-&,35919533,NAACCR,1970-01-01,2099-12-31,
6TH_AJCC/UICC-STAGE-4S,0,NCRAS_TUMOUR_STAGE_BEST_STCM,6TH_AJCC/UICC-STAGE-4S,1635323,Cancer Modifier,2022-05-09,2099-12-31,
6TH_AJCC/UICC-STAGE-?,0,NCRAS_TUMOUR_STAGE_BEST_STCM,6TH_AJCC/UICC-STAGE-?,35919533,NAACCR,1970-01-01,2099-12-31,
6TH_AJCC/UICC-STAGE-6,0,NCRAS_TUMOUR_STAGE_BEST_STCM,6TH_AJCC/UICC-STAGE-6,35919533,NAACCR,1970-01-01,2099-12-31,
6TH_AJCC/UICC-STAGE-U,0,NCRAS_TUMOUR_STAGE_BEST_STCM,6TH_AJCC/UICC-STAGE-U,35919533,NAACCR,1970-01-01,2099-12-31,
7TH_AJCC/UICC-STAGE-2S,0,NCRAS_TUMOUR_STAGE_BEST_STCM,7TH_AJCC/UICC-STAGE-2S,1634181,Cancer Modifier,2022-05-09,2099-12-31,
7TH_AJCC/UICC-STAGE-3S,0,NCRAS_TUMOUR_STAGE_BEST_STCM,7TH_AJCC/UICC-STAGE-3S,1633382,Cancer Modifier,2022-05-09,2099-12-31,
7TH_AJCC/UICC-STAGE-4S,0,NCRAS_TUMOUR_STAGE_BEST_STCM,7TH_AJCC/UICC-STAGE-4S,1633902,Cancer Modifier,2022-05-09,2099-12-31,
7TH_AJCC/UICC-STAGE-?,0,NCRAS_TUMOUR_STAGE_BEST_STCM,7TH_AJCC/UICC-STAGE-?,35919533,NAACCR,1970-01-01,2099-12-31,
7TH_AJCC/UICC-STAGE-6,0,NCRAS_TUMOUR_STAGE_BEST_STCM,7TH_AJCC/UICC-STAGE-6,35919533,NAACCR,1970-01-01,2099-12-31,
7TH_AJCC/UICC-STAGE-U,0,NCRAS_TUMOUR_STAGE_BEST_STCM,7TH_AJCC/UICC-STAGE-U,35919533,NAACCR,1970-01-01,2099-12-31,
7TH_AJCC/UICC-STAGE-X,0,NCRAS_TUMOUR_STAGE_BEST_STCM,7TH_AJCC/UICC-STAGE-X,35919533,NAACCR,1970-01-01,2099-12-31,
8TH_AJCC/UICC-STAGE-4S,0,NCRAS_TUMOUR_STAGE_BEST_STCM,8TH_AJCC/UICC-STAGE-4S,1634131,Cancer Modifier,2022-05-09,2099-12-31,
8TH_AJCC/UICC-STAGE-?,0,NCRAS_TUMOUR_STAGE_BEST_STCM,8TH_AJCC/UICC-STAGE-?,35919533,NAACCR,1970-01-01,2099-12-31,
8TH_AJCC/UICC-STAGE-U,0,NCRAS_TUMOUR_STAGE_BEST_STCM,8TH_AJCC/UICC-STAGE-U,35919533,NAACCR,1970-01-01,2099-12-31,
ANN_ARBOR-1A,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-1A,1633291,Cancer Modifier,2022-05-09,2099-12-31,
