source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
P-AJCC/UICC-STAGE-2S,0,NCRAS_TUMOUR_STAGE_PATH_STCM,P-AJCC/UICC-STAGE-2S,1633702,Cancer Modifier,2022-05-09,2099-12-31,
P-AJCC/UICC-STAGE-6,0,NCRAS_TUMOUR_STAGE_PATH_STCM,P-AJCC/UICC-STAGE-6,35919533,NAACCR,1970-01-01,2099-12-31,
P-AJCC/UICC-STAGE-?,0,NCRAS_TUMOUR_STAGE_PATH_STCM,P-AJCC/UICC-STAGE-?,35919533,NAACCR,1970-01-01,2099-12-31,
P-AJCC/UICC-STAGE-U,0,NCRAS_TUMOUR_STAGE_PATH_STCM,P-AJCC/UICC-STAGE-U,35919533,NAACCR,1970-01-01,2099-12-31,
P-AJCC/UICC-STAGE-X,0,NCRAS_TUMOUR_STAGE_PATH_STCM,P-AJCC/UICC-STAGE-X,35919533,NAACCR,1970-01-01,2099-12-31,
P-6TH_AJCC/UICC-STAGE-6,0,NCRAS_TUMOUR_STAGE_PATH_STCM,P-6TH_AJCC/UICC-STAGE-6,35919533,NAACCR,1970-01-01,2099-12-31,
P-6TH_AJCC/UICC-STAGE-?,0,NCRAS_TUMOUR_STAGE_PATH_STCM,P-6TH_AJCC/UICC-STAGE-?,35919533,NAACCR,1970-01-01,2099-12-31,
P-6TH_AJCC/UICC-STAGE-X,0,NCRAS_TUMOUR_STAGE_PATH_STCM,P-6TH_AJCC/UICC-STAGE-X,35919533,NAACCR,1970-01-01,2099-12-31,
P-7TH_AJCC/UICC-STAGE-2S,0,NCRAS_TUMOUR_STAGE_PATH_STCM,P-7TH_AJCC/UICC-STAGE-2S,1634619,Cancer Modifier,2022-05-09,2099-12-31,
P-7TH_AJCC/UICC-STAGE-6,0,NCRAS_TUMOUR_STAGE_PATH_STCM,P-7TH_AJCC/UICC-STAGE-6,35919533,NAACCR,1970-01-01,2099-12-31,
P-7TH_AJCC/UICC-STAGE-?,0,NCRAS_TUMOUR_STAGE_PATH_STCM,P-7TH_AJCC/UICC-STAGE-?,35919533,NAACCR,1970-01-01,2099-12-31,
P-7TH_AJCC/UICC-STAGE-U,0,NCRAS_TUMOUR_STAGE_PATH_STCM,P-7TH_AJCC/UICC-STAGE-U,35919533,NAACCR,1970-01-01,2099-12-31,
P-7TH_AJCC/UICC-STAGE-X,0,NCRAS_TUMOUR_STAGE_PATH_STCM,P-7TH_AJCC/UICC-STAGE-X,35919533,NAACCR,1970-01-01,2099-12-31,
P-8TH_AJCC/UICC-STAGE-?,0,NCRAS_TUMOUR_STAGE_PATH_STCM,P-8TH_AJCC/UICC-STAGE-?,35919533,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-3,0,NCRAS_TUMOUR_STAGE_PATH_STCM,ENETS 2007-3,1634191,Cancer Modifier,2022-05-09,2099-12-31,
