source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
N+,0,NCRAS_TUMOUR_TNM_BEST_STCM,N+,4121194,SNOMED,2002-01-31,2099-12-31,
AJCC/UICC-M1E,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-M1E,1635142,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-M2,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-M2,1635142,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-M3,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-M3,1635142,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-M4,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-M4,1635142,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-M9,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-M9,1633547,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-MP,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-MP,1633547,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-N00,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-N00,1633440,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-N11,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-N11,1633885,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-N1P,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-N1P,1634434,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-N26,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-N26,1633885,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-N3P,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-N3P,1635320,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-N9,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-N9,1633885,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-NC0,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-NC0,1633440,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-NC1,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-NC1,1634434,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-NCX,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-NCX,1633885,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-NO,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-NO,1633440,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-NP1,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-NP1,1634434,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-NP2,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-NP2,1634119,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-T16,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-T16,1635682,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-T2.,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-T2.,1635562,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-T2P,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-T2P,1635562,Cancer Modifier,2022-05-09,2099-12-31,
AJCC/UICC-T2S,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-T2S,1635562,Cancer Modifier,2022-05-09,2099-12-31,
