source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
C-AJCC/UICC-T2S,0,NCRAS_TUMOUR_TNM_IMG_STCM,C-AJCC/UICC-T2S,1635033,Cancer Modifier,2022-05-09,2099-12-31,
C-AJCC/UICC-T3S,0,NCRAS_TUMOUR_TNM_IMG_STCM,C-AJCC/UICC-T3S,1635895,Cancer Modifier,2022-05-09,2099-12-31,
C-AJCC/UICC-M1E,0,NCRAS_TUMOUR_TNM_IMG_STCM,C-AJCC/UICC-M1E,1635085,Cancer Modifier,2022-05-09,2099-12-31,
C-7TH_AJCC/UICC-T2S,0,NCRAS_TUMOUR_TNM_IMG_STCM,C-7TH_AJCC/UICC-T2S,1634029,Cancer Modifier,2022-05-09,2099-12-31,
C-7TH_AJCC/UICC-T3S,0,NCRAS_TUMOUR_TNM_IMG_STCM,C-7TH_AJCC/UICC-T3S,1633324,Cancer Modifier,2022-05-09,2099-12-31,
ENETS 2007-T1,0,NCRAS_TUMOUR_TNM_IMG_STCM,ENETS 2007-T1,35919386,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-T3,0,NCRAS_TUMOUR_TNM_IMG_STCM,ENETS 2007-T3,35919139,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-T4,0,NCRAS_TUMOUR_TNM_IMG_STCM,ENETS 2007-T4,35919454,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-N0,0,NCRAS_TUMOUR_TNM_IMG_STCM,ENETS 2007-N0,35919626,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-N1,0,NCRAS_TUMOUR_TNM_IMG_STCM,ENETS 2007-N1,35919638,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-M0,0,NCRAS_TUMOUR_TNM_IMG_STCM,ENETS 2007-M0,35919673,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-M1,0,NCRAS_TUMOUR_TNM_IMG_STCM,ENETS 2007-M1,35919664,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-M1B,0,NCRAS_TUMOUR_TNM_IMG_STCM,ENETS 2007-M1B,35919223,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-M1C,0,NCRAS_TUMOUR_TNM_IMG_STCM,ENETS 2007-M1C,35919795,NAACCR,1970-01-01,2099-12-31,
