source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
P-AJCC/UICC-T2S,0,NCRAS_TUMOUR_TNM_PATH_STCM,P-AJCC/UICC-T2S,1633978,Cancer Modifier,2022-05-09,2099-12-31,
P-AJCC/UICC-T3S,0,NCRAS_TUMOUR_TNM_PATH_STCM,P-AJCC/UICC-T3S,1634406,Cancer Modifier,2022-05-09,2099-12-31,
P-AJCC/UICC-TIS(LCIS),0,NCRAS_TUMOUR_TNM_PATH_STCM,P-AJCC/UICC-TIS(LCIS),1634581,Cancer Modifier,2022-05-09,2099-12-31,
P-AJCC/UICC-TS,0,NCRAS_TUMOUR_TNM_PATH_STCM,P-AJCC/UICC-TS,1633925,Cancer Modifier,2022-05-09,2099-12-31,
P-7TH_AJCC/UICC-TIS(LCIS),0,NCRAS_TUMOUR_TNM_PATH_STCM,P-7TH_AJCC/UICC-TIS(LCIS),1634116,Cancer Modifier,2022-05-09,2099-12-31,
P-7TH_AJCC/UICC-TS,0,NCRAS_TUMOUR_TNM_PATH_STCM,P-7TH_AJCC/UICC-TS,1635402,Cancer Modifier,2022-05-09,2099-12-31,
N+,0,NCRAS_TUMOUR_TNM_PATH_STCM,N+,35918791,NAACCR,1970-01-01,2099-12-31,
P-AJCC/UICC-N9,0,NCRAS_TUMOUR_TNM_PATH_STCM,P-AJCC/UICC-N9,1635170,Cancer Modifier,2022-05-09,2099-12-31,
P-AJCC/UICC-N11,0,NCRAS_TUMOUR_TNM_PATH_STCM,P-AJCC/UICC-N11,1635170,Cancer Modifier,2022-05-09,2099-12-31,
P-8TH_AJCC/UICC-N9,0,NCRAS_TUMOUR_TNM_PATH_STCM,P-8TH_AJCC/UICC-N9,1634117,Cancer Modifier,2022-05-09,2099-12-31,
P-AJCC/UICC-M1E,0,NCRAS_TUMOUR_TNM_PATH_STCM,P-AJCC/UICC-M1E,1635505,Cancer Modifier,2022-05-09,2099-12-31,
P-AJCC/UICC-M2,0,NCRAS_TUMOUR_TNM_PATH_STCM,P-AJCC/UICC-M2,1635505,Cancer Modifier,2022-05-09,2099-12-31,
P-AJCC/UICC-M3,0,NCRAS_TUMOUR_TNM_PATH_STCM,P-AJCC/UICC-M3,1635505,Cancer Modifier,2022-05-09,2099-12-31,
P-AJCC/UICC-M4,0,NCRAS_TUMOUR_TNM_PATH_STCM,P-AJCC/UICC-M4,1635505,Cancer Modifier,2022-05-09,2099-12-31,
P-AJCC/UICC-M9,0,NCRAS_TUMOUR_TNM_PATH_STCM,P-AJCC/UICC-M9,1633421,Cancer Modifier,2022-05-09,2099-12-31,
P-7TH_AJCC/UICC-M9,0,NCRAS_TUMOUR_TNM_PATH_STCM,P-7TH_AJCC/UICC-M9,1634362,Cancer Modifier,2022-05-09,2099-12-31,
P-8TH_AJCC/UICC-M9,0,NCRAS_TUMOUR_TNM_PATH_STCM,P-8TH_AJCC/UICC-M9,1633757,Cancer Modifier,2022-05-09,2099-12-31,
ENETS 2007-T1,0,NCRAS_TUMOUR_TNM_PATH_STCM,ENETS 2007-T1,35919829,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-T1A,0,NCRAS_TUMOUR_TNM_PATH_STCM,ENETS 2007-T1A,35919756,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-T1B,0,NCRAS_TUMOUR_TNM_PATH_STCM,ENETS 2007-T1B,35919186,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-T2,0,NCRAS_TUMOUR_TNM_PATH_STCM,ENETS 2007-T2,35919074,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-T3,0,NCRAS_TUMOUR_TNM_PATH_STCM,ENETS 2007-T3,35919081,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-T4,0,NCRAS_TUMOUR_TNM_PATH_STCM,ENETS 2007-T4,35919919,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-N0,0,NCRAS_TUMOUR_TNM_PATH_STCM,ENETS 2007-N0,35919637,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-N1,0,NCRAS_TUMOUR_TNM_PATH_STCM,ENETS 2007-N1,35919098,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-N1A,0,NCRAS_TUMOUR_TNM_PATH_STCM,ENETS 2007-N1A,35919353,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-M1,0,NCRAS_TUMOUR_TNM_PATH_STCM,ENETS 2007-M1,35919480,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-M1A,0,NCRAS_TUMOUR_TNM_PATH_STCM,ENETS 2007-M1A,35919199,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-MX,0,NCRAS_TUMOUR_TNM_PATH_STCM,ENETS 2007-MX,45876323,LOINC,1970-01-01,2099-12-31,
