source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
p22189,0,UKB_BASE_MEASUREMENT_STCM,Townsend deprivation index at recruitment,715996,OMOP Extension,2022-04-08,2099-12-31,
p21001,0,UKB_BASE_MEASUREMENT_STCM,Body mass index (BMI),3038553,LOINC,1970-01-31,2099-12-31,
p30620,0,UKB_BASE_MEASUREMENT_STCM,Alanine aminotransferase,44788835,SNOMED,2006-04-01,2099-12-31,
p30600,0,UKB_BASE_MEASUREMENT_STCM,Albumin,4017497,SNOMED,2002-01-31,2099-12-31,
p30610,0,UKB_BASE_MEASUREMENT_STCM,Alkaline phosphatase,4156813,SNOMED,2002-01-31,2099-12-31,
p30630,0,UKB_BASE_MEASUREMENT_STCM,Apolipoprotein A,4017616,SNOMED,2002-01-31,2099-12-31,
p30640,0,UKB_BASE_MEASUREMENT_STCM,Apolipoprotein B,4197854,SNOMED,2002-01-31,2099-12-31,
p30650,0,UKB_BASE_MEASUREMENT_STCM,Aspartate aminotransferase,4263457,SNOMED,2002-01-31,2099-12-31,
p30710,0,UKB_BASE_MEASUREMENT_STCM,C-reactive protein,4208414,SNOMED,2002-01-31,2099-12-31,
p30680,0,UKB_BASE_MEASUREMENT_STCM,Calcium,4216722,SNOMED,2002-01-31,2099-12-31,
p30690,0,UKB_BASE_MEASUREMENT_STCM,Cholesterol,4008265,SNOMED,2002-01-31,2099-12-31,
p30700,0,UKB_BASE_MEASUREMENT_STCM,Creatinine,4013964,SNOMED,2002-01-31,2099-12-31,
p30720,0,UKB_BASE_MEASUREMENT_STCM,Cystatin C,4248803,SNOMED,2004-01-31,2099-12-31,
p30660,0,UKB_BASE_MEASUREMENT_STCM,Direct bilirubin,4216632,SNOMED,2002-01-31,2099-12-31,
p30730,0,UKB_BASE_MEASUREMENT_STCM,Gamma glutamyltransferase,4198885,SNOMED,2002-01-31,2099-12-31,
p30740,0,UKB_BASE_MEASUREMENT_STCM,Glucose,4331286,SNOMED,2002-01-31,2099-12-31,
p30750,0,UKB_BASE_MEASUREMENT_STCM,Glycated haemoglobin (HbA1c),4184637,SNOMED,2002-01-31,2099-12-31,
p30760,0,UKB_BASE_MEASUREMENT_STCM,HDL cholesterol,4042059,SNOMED,2002-01-31,2099-12-31,
p30770,0,UKB_BASE_MEASUREMENT_STCM,IGF-1,37208789,SNOMED,2019-06-01,2099-12-31,
p30780,0,UKB_BASE_MEASUREMENT_STCM,LDL direct,4041556,SNOMED,2002-01-31,2099-12-31,
p30790,0,UKB_BASE_MEASUREMENT_STCM,Lipoprotein A,46284886,SNOMED,2015-04-01,2099-12-31,
p30800,0,UKB_BASE_MEASUREMENT_STCM,Oestradiol,4042926,SNOMED,2002-01-31,2099-12-31,
p30810,0,UKB_BASE_MEASUREMENT_STCM,Phosphate,4017907,SNOMED,2002-01-31,2099-12-31,
p30820,0,UKB_BASE_MEASUREMENT_STCM,Rheumatoid factor,4204380,SNOMED,2002-01-31,2099-12-31,
p30830,0,UKB_BASE_MEASUREMENT_STCM,SHBG,4041524,SNOMED,2002-01-31,2099-12-31,
p30850,0,UKB_BASE_MEASUREMENT_STCM,Testosterone,4156642,SNOMED,2002-01-31,2099-12-31,
p30840,0,UKB_BASE_MEASUREMENT_STCM,Total bilirubin,4195338,SNOMED,2002-01-31,2099-12-31,
p30860,0,UKB_BASE_MEASUREMENT_STCM,Total protein,4152983,SNOMED,2002-01-31,2099-12-31,
p30870,0,UKB_BASE_MEASUREMENT_STCM,Triglycerides,4032789,SNOMED,2002-01-31,2099-12-31,
p30880,0,UKB_BASE_MEASUREMENT_STCM,Urate,4165617,SNOMED,2002-01-31,2099-12-31,
p30670,0,UKB_BASE_MEASUREMENT_STCM,Urea,4158889,SNOMED,2002-01-31,2099-12-31,
p30890,0,UKB_BASE_MEASUREMENT_STCM,Vitamin D,4152982,SNOMED,2002-01-31,2099-12-31,
