source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
10003,0,UKB_COUNTRY_STCM,Stockport (pilot),4320168,SNOMED,2002-01-31,2099-12-31,
11001,0,UKB_COUNTRY_STCM,Manchester,4320168,SNOMED,2002-01-31,2099-12-31,
11002,0,UKB_COUNTRY_STCM,Oxford,4320168,SNOMED,2002-01-31,2099-12-31,
11003,0,UKB_COUNTRY_STCM,Cardiff,4329605,SNOMED,2002-01-31,2099-12-31,
11004,0,UKB_COUNTRY_STCM,Glasgow,4330439,SNOMED,2002-01-31,2099-12-31,
11005,0,UKB_COUNTRY_STCM,Edinburgh,4330439,SNOMED,2002-01-31,2099-12-31,
11006,0,UKB_COUNTRY_STCM,Stoke,4320168,SNOMED,2002-01-31,2099-12-31,
11007,0,UKB_COUNTRY_STCM,Reading,4320168,SNOMED,2002-01-31,2099-12-31,
11008,0,UKB_COUNTRY_STCM,Bury,4320168,SNOMED,2002-01-31,2099-12-31,
11009,0,UKB_COUNTRY_STCM,Newcastle,4320168,SNOMED,2002-01-31,2099-12-31,
11010,0,UKB_COUNTRY_STCM,Leeds,4320168,SNOMED,2002-01-31,2099-12-31,
11011,0,UKB_COUNTRY_STCM,Bristol,4320168,SNOMED,2002-01-31,2099-12-31,
11012,0,UKB_COUNTRY_STCM,Barts,4320168,SNOMED,2002-01-31,2099-12-31,
11013,0,UKB_COUNTRY_STCM,Nottingham,4320168,SNOMED,2002-01-31,2099-12-31,
11014,0,UKB_COUNTRY_STCM,Sheffield,4320168,SNOMED,2002-01-31,2099-12-31,
11016,0,UKB_COUNTRY_STCM,Liverpool,4320168,SNOMED,2002-01-31,2099-12-31,
11017,0,UKB_COUNTRY_STCM,Middlesborough,4320168,SNOMED,2002-01-31,2099-12-31,
11018,0,UKB_COUNTRY_STCM,Hounslow,4320168,SNOMED,2002-01-31,2099-12-31,
11020,0,UKB_COUNTRY_STCM,Croydon,4320168,SNOMED,2002-01-31,2099-12-31,
11021,0,UKB_COUNTRY_STCM,Birmingham,4320168,SNOMED,2002-01-31,2099-12-31,
11022,0,UKB_COUNTRY_STCM,Swansea,4329605,SNOMED,2002-01-31,2099-12-31,
11023,0,UKB_COUNTRY_STCM,Wrexham,4329605,SNOMED,2002-01-31,2099-12-31,
11024,0,UKB_COUNTRY_STCM,Cheadle (revisit),4320168,SNOMED,2002-01-31,2099-12-31,
11025,0,UKB_COUNTRY_STCM,Cheadle (imaging),4320168,SNOMED,2002-01-31,2099-12-31,
11026,0,UKB_COUNTRY_STCM,Reading (imaging),4320168,SNOMED,2002-01-31,2099-12-31,
11027,0,UKB_COUNTRY_STCM,Newcastle (imaging),4320168,SNOMED,2002-01-31,2099-12-31,
11028,0,UKB_COUNTRY_STCM,Bristol (imaging),4320168,SNOMED,2002-01-31,2099-12-31,
