source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
267-2000,0,UKB_DISDEST_STCM,Temporary residence,8602,CMS Place of Service,1970-01-01,2099-12-31,
267-3003,0,UKB_DISDEST_STCM,NHS medium secure unit,38004284,NUCC,1970-01-01,2099-12-31,
267-4000,0,UKB_DISDEST_STCM,Legal Establishment,38003619,CMS Place of Service,1970-01-01,2099-12-31,
267-4001,0,UKB_DISDEST_STCM,Legal Establishment - court and police station and Prison,38003619,CMS Place of Service,1970-01-01,2099-12-31,
267-5000,0,UKB_DISDEST_STCM,Transfer to other NHS provider,38004515,Medicare Specialty,1970-01-01,2099-12-31,
267-5001,0,UKB_DISDEST_STCM,Transfer to other NHS provider: ward for PATIENTS or the younger physically disabled,38004515,Medicare Specialty,1970-01-01,2099-12-31,
267-5002,0,UKB_DISDEST_STCM,Transfer to other NHS provider: Obstetrics,38004515,Medicare Specialty,1970-01-01,2099-12-31,
267-5003,0,UKB_DISDEST_STCM,Transfer to other NHS provider: psychiatry & learning disabilities,38004515,Medicare Specialty,1970-01-01,2099-12-31,
267-5004,0,UKB_DISDEST_STCM,Transfer to other NHS provider: Surgical specialty,38004515,Medicare Specialty,1970-01-01,2099-12-31,
267-5005,0,UKB_DISDEST_STCM,Transfer to other NHS provider: Medical specialty,38004515,Medicare Specialty,1970-01-01,2099-12-31,
267-5006,0,UKB_DISDEST_STCM,Transfer to other NHS provider: GP,38004453,Medicare Specialty,1970-01-01,2099-12-31,
267-5007,0,UKB_DISDEST_STCM,Transfer to other NHS provider: Geriatrics,38004515,Medicare Specialty,1970-01-01,2099-12-31,
267-5008,0,UKB_DISDEST_STCM,Transfer to other NHS provider: Orthopaedics,38004515,Medicare Specialty,1970-01-01,2099-12-31,
267-6000,0,UKB_DISDEST_STCM,Transfer within NHS provider,8717,CMS Place of Service,1970-01-01,2099-12-31,
267-6001,0,UKB_DISDEST_STCM,Transfer within NHS provider: ward for PATIENTS or the younger physically disabled,8717,CMS Place of Service,1970-01-01,2099-12-31,
267-6002,0,UKB_DISDEST_STCM,Transfer within NHS provider: Obstetrics,8717,CMS Place of Service,1970-01-01,2099-12-31,
267-6003,0,UKB_DISDEST_STCM,Transfer within NHS provider: psychiatry & learning disabilities,8976,CMS Place of Service,1970-01-01,2099-12-31,
267-6004,0,UKB_DISDEST_STCM,Transfer within NHS provider: Surgical specialty,8717,CMS Place of Service,1970-01-01,2099-12-31,
267-6005,0,UKB_DISDEST_STCM,Transfer within NHS provider: Medical specialty,8717,CMS Place of Service,1970-01-01,2099-12-31,
267-6006,0,UKB_DISDEST_STCM,Transfer within NHS provider: GP,38004453,Medicare Specialty,1970-01-01,2099-12-31,
267-6007,0,UKB_DISDEST_STCM,Transfer within NHS provider: Geriatrics,8717,CMS Place of Service,1970-01-01,2099-12-31,
267-6008,0,UKB_DISDEST_STCM,Transfer within NHS provider: Orthopaedics,8717,CMS Place of Service,1970-01-01,2099-12-31,
267-7000,0,UKB_DISDEST_STCM,Nursing home residential care home & group,8851,CMS Place of Service,1970-01-01,2099-12-31,
267-7001,0,UKB_DISDEST_STCM,Nursing home residential care home & group home: NHS,8851,CMS Place of Service,1970-01-01,2099-12-31,
267-7002,0,UKB_DISDEST_STCM,Nursing home residential care home & group home: Local Authority,8851,CMS Place of Service,1970-01-01,2099-12-31,
267-7003,0,UKB_DISDEST_STCM,Nursing home residential care home & group home: Non-NHS,8851,CMS Place of Service,1970-01-01,2099-12-31,
267-8000,0,UKB_DISDEST_STCM,Other hospital,38004515,Medicare Specialty,1970-01-01,2099-12-31,
267-8001,0,UKB_DISDEST_STCM,Other hospital: NHS partnership hospital,38004515,Medicare Specialty,1970-01-01,2099-12-31,
267-8002,0,UKB_DISDEST_STCM,Other hospital: Non-NHS,38004515,Medicare Specialty,1970-01-01,2099-12-31,
267-9000,0,UKB_DISDEST_STCM,Hospice,8546,CMS Place of Service,1970-01-01,2099-12-31,
267-9001,0,UKB_DISDEST_STCM,Non-NHS Hospice,8546,CMS Place of Service,1970-01-01,2099-12-31,
267-10001,0,UKB_DISDEST_STCM,Local authority foster care,38004205,NUCC,1970-01-01,2099-12-31,
