source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
%,0,UKB_GP_CLINICAL_UNIT_STCM,%,8554,UCUM,1970-01-01,2099-12-31,
% total Hb,0,UKB_GP_CLINICAL_UNIT_STCM,% total Hb,8737,UCUM,1970-01-01,2099-12-31,
%Total,0,UKB_GP_CLINICAL_UNIT_STCM,%Total,8632,UCUM,1970-01-01,2099-12-31,
%total Hb,0,UKB_GP_CLINICAL_UNIT_STCM,%total Hb,8737,UCUM,1970-01-01,2099-12-31,
%Total Hb,0,UKB_GP_CLINICAL_UNIT_STCM,%Total Hb,8737,UCUM,1970-01-01,2099-12-31,
*10^9/cumm,0,UKB_GP_CLINICAL_UNIT_STCM,*10^9/cumm,44777660,UCUM,1970-01-01,2099-12-31,
*10^9/l,0,UKB_GP_CLINICAL_UNIT_STCM,*10^9/l,9444,UCUM,1970-01-01,2099-12-31,
./min,0,UKB_GP_CLINICAL_UNIT_STCM,./min,8541,UCUM,1970-01-01,2099-12-31,
/ day,0,UKB_GP_CLINICAL_UNIT_STCM,/ day,44777556,UCUM,1970-01-01,2099-12-31,
/100,0,UKB_GP_CLINICAL_UNIT_STCM,/100,9243,UCUM,1970-01-01,2099-12-31,
/day,0,UKB_GP_CLINICAL_UNIT_STCM,/day,44777556,UCUM,1970-01-01,2099-12-31,
/min,0,UKB_GP_CLINICAL_UNIT_STCM,/min,8541,UCUM,1970-01-01,2099-12-31,
/minute,0,UKB_GP_CLINICAL_UNIT_STCM,/minute,8541,UCUM,1970-01-01,2099-12-31,
/ul,0,UKB_GP_CLINICAL_UNIT_STCM,/ul,8647,UCUM,1970-01-01,2099-12-31,
/uL,0,UKB_GP_CLINICAL_UNIT_STCM,/uL,8647,UCUM,1970-01-01,2099-12-31,
/week,0,UKB_GP_CLINICAL_UNIT_STCM,/week,44777559,UCUM,1970-01-01,2099-12-31,
/year,0,UKB_GP_CLINICAL_UNIT_STCM,/year,44777560,UCUM,1970-01-01,2099-12-31,
<mg/l,0,UKB_GP_CLINICAL_UNIT_STCM,<mg/l,8751,UCUM,1970-01-01,2099-12-31,
