source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
aerosol,0,UKB_GP_DEVICE_UNIT_STCM,aerosol,32912,UCUM,1970-01-01,2099-12-31,
ampoule,0,UKB_GP_DEVICE_UNIT_STCM,ampoule,32912,UCUM,1970-01-01,2099-12-31,
bag,0,UKB_GP_DEVICE_UNIT_STCM,bag,32912,UCUM,1970-01-01,2099-12-31,
bar,0,UKB_GP_DEVICE_UNIT_STCM,bar,9464,UCUM,1970-01-01,2099-12-31,
bottle,0,UKB_GP_DEVICE_UNIT_STCM,bottle,32912,UCUM,1970-01-01,2099-12-31,
box,0,UKB_GP_DEVICE_UNIT_STCM,box,32912,UCUM,1970-01-01,2099-12-31,
boxes,0,UKB_GP_DEVICE_UNIT_STCM,boxes,32912,UCUM,1970-01-01,2099-12-31,
cap,0,UKB_GP_DEVICE_UNIT_STCM,cap,32912,UCUM,1970-01-01,2099-12-31,
capsule,0,UKB_GP_DEVICE_UNIT_STCM,capsule,32912,UCUM,1970-01-01,2099-12-31,
capsules,0,UKB_GP_DEVICE_UNIT_STCM,capsules,32912,UCUM,1970-01-01,2099-12-31,
container,0,UKB_GP_DEVICE_UNIT_STCM,container,32912,UCUM,1970-01-01,2099-12-31,
device,0,UKB_GP_DEVICE_UNIT_STCM,device,32912,UCUM,1970-01-01,2099-12-31,
dressing,0,UKB_GP_DEVICE_UNIT_STCM,dressing,32912,UCUM,1970-01-01,2099-12-31,
dressings,0,UKB_GP_DEVICE_UNIT_STCM,dressings,32912,UCUM,1970-01-01,2099-12-31,
g,0,UKB_GP_DEVICE_UNIT_STCM,g,8504,UCUM,1970-01-01,2099-12-31,
gram,0,UKB_GP_DEVICE_UNIT_STCM,gram,8504,UCUM,1970-01-01,2099-12-31,
grams,0,UKB_GP_DEVICE_UNIT_STCM,grams,8504,UCUM,1970-01-01,2099-12-31,
hose,0,UKB_GP_DEVICE_UNIT_STCM,hose,32912,UCUM,1970-01-01,2099-12-31,
kg,0,UKB_GP_DEVICE_UNIT_STCM,kg,9529,UCUM,1970-01-01,2099-12-31,
lancet,0,UKB_GP_DEVICE_UNIT_STCM,lancet,32912,UCUM,1970-01-01,2099-12-31,
m,0,UKB_GP_DEVICE_UNIT_STCM,m,9546,UCUM,1970-01-01,2099-12-31,
meter,0,UKB_GP_DEVICE_UNIT_STCM,meter,9546,UCUM,1970-01-01,2099-12-31,
meters,0,UKB_GP_DEVICE_UNIT_STCM,meters,9546,UCUM,1970-01-01,2099-12-31,
millilitres,0,UKB_GP_DEVICE_UNIT_STCM,millilitres,8587,UCUM,1970-01-01,2099-12-31,
ml,0,UKB_GP_DEVICE_UNIT_STCM,ml,8587,UCUM,1970-01-01,2099-12-31,
mls,0,UKB_GP_DEVICE_UNIT_STCM,mls,8587,UCUM,1970-01-01,2099-12-31,
needle,0,UKB_GP_DEVICE_UNIT_STCM,needle,32912,UCUM,1970-01-01,2099-12-31,
pack,0,UKB_GP_DEVICE_UNIT_STCM,pack,32912,UCUM,1970-01-01,2099-12-31,
pad,0,UKB_GP_DEVICE_UNIT_STCM,pad,32912,UCUM,1970-01-01,2099-12-31,
sachet,0,UKB_GP_DEVICE_UNIT_STCM,sachet,32912,UCUM,1970-01-01,2099-12-31,
strip,0,UKB_GP_DEVICE_UNIT_STCM,strip,32912,UCUM,1970-01-01,2099-12-31,
strips,0,UKB_GP_DEVICE_UNIT_STCM,strips,32912,UCUM,1970-01-01,2099-12-31,
strp,0,UKB_GP_DEVICE_UNIT_STCM,strp,32912,UCUM,1970-01-01,2099-12-31,
swab,0,UKB_GP_DEVICE_UNIT_STCM,swab,32912,UCUM,1970-01-01,2099-12-31,
syringe,0,UKB_GP_DEVICE_UNIT_STCM,syringe,32912,UCUM,1970-01-01,2099-12-31,
syrn,0,UKB_GP_DEVICE_UNIT_STCM,syrn,32912,UCUM,1970-01-01,2099-12-31,
tablet,0,UKB_GP_DEVICE_UNIT_STCM,tablet,9431,UCUM,1970-01-01,2099-12-31,
tablets,0,UKB_GP_DEVICE_UNIT_STCM,tablets,9431,UCUM,1970-01-01,2099-12-31,
tube,0,UKB_GP_DEVICE_UNIT_STCM,tube,32912,UCUM,1970-01-01,2099-12-31,
unit,0,UKB_GP_DEVICE_UNIT_STCM,unit,8510,UCUM,1970-01-01,2099-12-31,
unit dose,0,UKB_GP_DEVICE_UNIT_STCM,unit dose,8510,UCUM,1970-01-01,2099-12-31,
units,0,UKB_GP_DEVICE_UNIT_STCM,units,8510,UCUM,1970-01-01,2099-12-31,
