source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
8000/6,0,CANCER_ICDO3_STCM,"Neoplasm, metastatic",432851,SNOMED,2002-01-31,2099-12-31,
8010/6,0,CANCER_ICDO3_STCM,"Carcinoma, metastatic, NOS",36716620,SNOMED,2017-01-31,2099-12-31,
8010/6,0,CANCER_ICDO3_STCM,"Carcinoma, metastatic, NOS",36769180,Cancer Modifier,2020-09-23,2099-12-31,
8070/6,0,CANCER_ICDO3_STCM,"Squamous cell carcinoma, metastatic, NOS",4301510,SNOMED,2003-07-31,2099-12-31,
8140/6,0,CANCER_ICDO3_STCM,"Adenocarcinoma, metastatic, NOS",40484156,SNOMED,2020-09-23,2099-12-31,
8140/6,0,CANCER_ICDO3_STCM,"Adenocarcinoma, metastatic, NOS",36769180,Cancer Modifier,2010-01-31,2099-12-31,
8500/5,0,CANCER_ICDO3_STCM,"Infiltrating duct carcinoma, NOS/Malignant, microinvasive",42513336,ICDO3,2020-09-23,2099-12-31,
8500/5,0,CANCER_ICDO3_STCM,"Infiltrating duct carcinoma, NOS/Malignant, microinvasive",36770022,Cancer Modifier,2015-09-18,2099-12-31,
9960/1,0,CANCER_ICDO3_STCM,"Myeloproliferative disease, NOS",42514227,ICDO3,2015-09-18,2099-12-31,
9962/1,0,CANCER_ICDO3_STCM,Idiopathic thrombocythemia,438383,SNOMED,2002-01-31,2099-12-31,
8010/1,0,CANCER_ICDO3_STCM,"Carcinoma, NOS",36716620,SNOMED,2017-01-31,2099-12-31,
8070/1,0,CANCER_ICDO3_STCM,Squamous cell carcinoma/Uncertain whether benign or malignant,36716620,SNOMED,2017-01-31,2099-12-31,
8010/5,0,CANCER_ICDO3_STCM,"Carcinoma, NOS/Malignant, microinvasive",36716620,SNOMED,2017-01-31,2099-12-31,
8010/5,0,CANCER_ICDO3_STCM,"Carcinoma, NOS/Malignant, microinvasive",36770022,Cancer Modifier,2020-09-23,2099-12-31,
8070/5,0,CANCER_ICDO3_STCM,"Squamous cell carcinoma/Malignant, microinvasive",4300118,SNOMED,2003-07-31,2099-12-31,
8076/5,0,CANCER_ICDO3_STCM,"Squamous cell carcinoma, micro-invasive/Malignant, microinvasive",4300118,SNOMED,2003-07-31,2099-12-31,
8076/5,0,CANCER_ICDO3_STCM,"Squamous cell carcinoma, micro-invasive/Malignant, microinvasive",36770022,Cancer Modifier,2020-09-23,2099-12-31,
8246/6,0,CANCER_ICDO3_STCM,"Neuroendocrine carcinoma, metastatic from other site",37165127,SNOMED,2023-01-31,2099-12-31,
9961/1,0,CANCER_ICDO3_STCM,Myelosclerosis with myeloid metaplasia,42514038,ICDO3,2015-09-18,2099-12-31,
9980/1,0,CANCER_ICDO3_STCM,"Refractory anemia, NOS",37166869,SNOMED,2023-03-31,2099-12-31,
9983/1,0,CANCER_ICDO3_STCM,Refractory anemia with excess blasts,136949,SNOMED,2003-07-31,2099-12-31,
8020/6,0,CANCER_ICDO3_STCM,"Carcinoma, undifferentiated type/Malignant, metastatic site",36716620,SNOMED,2017-01-31,2099-12-31,
8020/6,0,CANCER_ICDO3_STCM,"Carcinoma, undifferentiated type/Malignant, metastatic site",36769180,Cancer Modifier,2020-09-23,2099-12-31,
8480/6,0,CANCER_ICDO3_STCM,Mucinous adenocarcinoma/Pseudomyxoma peritonei,42513329,ICDO3,2020-10-13,2099-12-31,
8480/6,0,CANCER_ICDO3_STCM,Mucinous adenocarcinoma/Pseudomyxoma peritonei,35226253,Cancer Modifier,2015-09-18,2099-12-31,
8850/3,0,CANCER_ICDO3_STCM,"Liposarcoma, NOS",4110857,SNOMED,2002-01-31,2099-12-31,
8441/6,0,CANCER_ICDO3_STCM,"Serous cystadenocarcinoma/Malignant, metastatic site",42513301,ICDO3,2015-09-18,2099-12-31,
8441/6,0,CANCER_ICDO3_STCM,"Serous cystadenocarcinoma/Malignant, metastatic site",36769180,Cancer Modifier,2020-09-23,2099-12-31,
8490/6,0,CANCER_ICDO3_STCM,Metastatic signet ring cell carcinoma,42513333,ICDO3,2015-09-18,2099-12-31,
8490/6,0,CANCER_ICDO3_STCM,Metastatic signet ring cell carcinoma,36769180,Cancer Modifier,2020-09-23,2099-12-31,
8520/1,0,CANCER_ICDO3_STCM,"Lobular carcinoma, NOS",42513359,ICDO3,2015-09-18,2099-12-31,
8520/5,0,CANCER_ICDO3_STCM,"Lobular carcinoma /Malignant, microinvasive",42513359,ICDO3,2015-09-18,2099-12-31,
8520/5,0,CANCER_ICDO3_STCM,"Lobular carcinoma /Malignant, microinvasive",36770022,Cancer Modifier,2020-09-23,2099-12-31,
8743/5,0,CANCER_ICDO3_STCM,"Superficial spreading melanoma/Malignant, microinvasive",4110725,SNOMED,2002-01-31,2099-12-31,
8743/5,0,CANCER_ICDO3_STCM,"Superficial spreading melanoma/Malignant, microinvasive",36770022,Cancer Modifier,2020-09-23,2099-12-31,
