source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
5-FLUOROURACIL,0,NCRAS_MIX_STCM,5-FLUOROURACIL,955632,RxNorm,1970-01-01,2099-12-31,
Active Monitoring,0,NCRAS_MIX_STCM,Active Monitoring,4186034,SNOMED,2005-01-31,2099-12-31,
All Treatment Declined,0,NCRAS_MIX_STCM,All Treatment Declined,42537563,SNOMED,2018-01-31,2099-12-31,
Anti-Cancer Drug Regimen (other),0,NCRAS_MIX_STCM,Anti-Cancer Drug Regimen (other),4215565,SNOMED,2003-01-31,2099-12-31,
BCG,0,NCRAS_MIX_STCM,BCG,43291286,RxNorm Extension,2017-08-24,2099-12-31,
BRACHYTHERAPY,0,NCRAS_MIX_STCM,Brachytherapy,40317890,SNOMED,2018-07-31,2099-12-31,
Chemoradiotherapy,0,NCRAS_MIX_STCM,Chemoradiotherapy,45766298,SNOMED,2014-07-31,2099-12-31,
Chemotherapy,0,NCRAS_MIX_STCM,Chemotherapy,4273629,SNOMED,2002-01-31,2099-12-31,
CHEMOTHERAPY NOS,0,NCRAS_MIX_STCM,CHEMOTHERAPY NOS,4273629,SNOMED,2002-01-31,2099-12-31,
CT - Other,0,NCRAS_MIX_STCM,CT - Other,4215565,SNOMED,2003-01-31,2099-12-31,
Cytotoxic Chemotherapy,0,NCRAS_MIX_STCM,Cytotoxic Chemotherapy,4273629,SNOMED,2002-01-31,2099-12-31,
DHA-PACLITAXEL,0,NCRAS_MIX_STCM,DHA-PACLITAXEL,1378382,RxNorm,1970-01-01,2099-12-31,
EXTERNAL BEAM,0,NCRAS_MIX_STCM,EXTERNAL BEAM,4141448,SNOMED,2002-01-31,2099-12-31,
G-CSF,0,NCRAS_MIX_STCM,G-CSF,1304850,RxNorm,1970-01-01,2099-12-31,
Hormone Therapy,0,NCRAS_MIX_STCM,Hormone Therapy,4061650,SNOMED,2002-01-31,2099-12-31,
HORMONE THERAPY NOS,0,NCRAS_MIX_STCM,HORMONE THERAPY NOS,4061650,SNOMED,2002-01-31,2099-12-31,
HYDROXYCARBAMIDE,0,NCRAS_MIX_STCM,HYDROXYCARBAMIDE,1377141,RxNorm,1970-01-01,2099-12-31,
IBANDRONIC ACID,0,NCRAS_MIX_STCM,IBANDRONIC ACID,1512480,RxNorm,1970-01-01,2099-12-31,
Imaging,0,NCRAS_MIX_STCM,Imaging,4180938,SNOMED,2002-01-31,2099-12-31,
Immunotherapy,0,NCRAS_MIX_STCM,Immunotherapy,4295112,SNOMED,2002-01-31,2099-12-31,
IMMUNOTHERAPY NOS,0,NCRAS_MIX_STCM,IMMUNOTHERAPY NOS,4295112,SNOMED,2002-01-31,2099-12-31,
INTRACAVITARY OR INTERSTITIAL,0,NCRAS_MIX_STCM,Brachytherapy,40317890,SNOMED,2023-12-01,2099-12-31,
LEUPRORELIN,0,NCRAS_MIX_STCM,LEUPRORELIN,1351541,RxNorm,1970-01-01,2099-12-31,
Non-Specialist Palliative Care,0,NCRAS_MIX_STCM,Non-Specialist Palliative Care,4014023,SNOMED,2002-01-31,2099-12-31,
OESTROGEN,0,NCRAS_MIX_STCM,OESTROGEN,19049228,RxNorm,1970-01-01,2099-12-31,
RADIOACTIVE ISOTOPES,0,NCRAS_MIX_STCM,RADIOACTIVE ISOTOPES,4161415,SNOMED,2003-01-31,2099-12-31,
Radioisotope Therapy,0,NCRAS_MIX_STCM,Radioisotope Therapy,4161415,SNOMED,2003-01-31,2099-12-31,
Radiosurgery,0,NCRAS_MIX_STCM,Radiosurgery,4021989,SNOMED,2002-01-31,2099-12-31,
Radiotherapy,0,NCRAS_MIX_STCM,Radiotherapy,1242725,SNOMED,2023-12-01,2099-12-31,
RT - Brachytherapy,0,NCRAS_MIX_STCM,Brachytherapy,40317890,SNOMED,2018-07-31,2099-12-31,
RT - Other/NK,0,NCRAS_MIX_STCM,RT - Other/NK,1242725,SNOMED,2023-12-01,2099-12-31,
RT - Teletherapy,0,NCRAS_MIX_STCM,RT - Teletherapy,4141448,SNOMED,2002-01-31,2099-12-31,
Specialist Palliative Care,0,NCRAS_MIX_STCM,Specialist Palliative Care,4216795,SNOMED,2003-01-31,2099-12-31,
STILBOESTROL,0,NCRAS_MIX_STCM,STILBOESTROL,1525866,RxNorm,1970-01-01,2099-12-31,
Surgery etc - type unknown,0,NCRAS_MIX_STCM,Surgery etc - type unknown,4301351,SNOMED,2003-01-31,2099-12-31,
P,0,NCRAS_MIX_STCM,Primary,36768229,Cancer Modifier,2020-09-23,2099-12-31,
PR,0,NCRAS_MIX_STCM,Primary and Regional nodes,36768229,Cancer Modifier,2020-09-23,2099-12-31,
PR,0,NCRAS_MIX_STCM,Primary and Regional nodes,36769269,Cancer Modifier,2020-09-23,2099-12-31,
R,0,NCRAS_MIX_STCM,Regional nodes,36769269,Cancer Modifier,2020-09-23,2099-12-31,
01,0,NCRAS_MIX_STCM,Palliative,4179711,SNOMED,2002-01-31,2099-12-31,
02,0,NCRAS_MIX_STCM,Anti-cancer (radical),4162591,SNOMED,2002-07-31,2099-12-31,
03,0,NCRAS_MIX_STCM,Other,4181497,SNOMED,2020-09-23,2099-12-31,
T1,0,NCRAS_MIX_STCM,Photons,607996,SNOMED,2021-01-31,2099-12-31,
T2,0,NCRAS_MIX_STCM,Electrons,4165039,SNOMED,2002-07-31,2099-12-31,
T3,0,NCRAS_MIX_STCM,Other,4141448,SNOMED,2002-01-31,2099-12-31,
T4,0,NCRAS_MIX_STCM,Photon and Electron (Retired 1 April 2014),40486247,SNOMED,2011-07-31,2099-12-31,
T5,0,NCRAS_MIX_STCM,Photon and Other (Retired 1 April 2014),603131,SNOMED,2021-01-31,2099-12-31,
T6,0,NCRAS_MIX_STCM,Electron and Other (Retired 1 April 2014),603131,SNOMED,2021-01-31,2099-12-31,
T7,0,NCRAS_MIX_STCM,"Photon, Electron and Other (Retired 1 April 2014)",603131,SNOMED,2021-01-31,2099-12-31,
radiotherapybeamenergy,0,NCRAS_MIX_STCM,Beam energy,4045098,SNOMED,2002-01-31,2099-12-31,
numberofteletherapyfields1,0,NCRAS_MIX_STCM,Single field teletherapy,4162704,SNOMED,2002-07-31,2099-12-31,
numberofteletherapyfields2,0,NCRAS_MIX_STCM,Two field teletherapy,4191639,SNOMED,2002-07-31,2099-12-31,
numberofteletherapyfields3,0,NCRAS_MIX_STCM,Three field teletherapy,4191640,SNOMED,2002-07-31,2099-12-31,
