source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
O111,0,UKB_HESIN_Oper,Gastro-oesophageal junction,4230374,SNOMED,2002-01-31,2099-12-31,
O118,0,UKB_HESIN_Oper,Specified other upper digestive tract NEC,4230374,SNOMED,2002-01-31,2099-12-31,
O119,0,UKB_HESIN_Oper,Other upper digestive tract NEC,4230374,SNOMED,2002-01-31,2099-12-31,
O121,0,UKB_HESIN_Oper,Superficial temporal artery,4043175,SNOMED,2002-01-31,2099-12-31,
O122,0,UKB_HESIN_Oper,Maxillary artery,4300156,SNOMED,2003-01-31,2099-12-31,
O128,0,UKB_HESIN_Oper,Specified branch of external carotid artery,4043175,SNOMED,2002-01-31,2099-12-31,
O129,0,UKB_HESIN_Oper,Branch of external carotid artery NEC,4043175,SNOMED,2002-01-31,2099-12-31,
O13,0,UKB_HESIN_Oper,Other leg region,4042650,SNOMED,2002-01-31,2099-12-31,
O131,0,UKB_HESIN_Oper,Multiple digits of foot NEC,4043030,SNOMED,2002-01-31,2099-12-31,
O132,0,UKB_HESIN_Oper,Knee NEC,4043028,SNOMED,2002-01-31,2099-12-31,
O138,0,UKB_HESIN_Oper,Specified other leg region NEC,4042650,SNOMED,2002-01-31,2099-12-31,
O141,0,UKB_HESIN_Oper,Pelvic lymph node,43531071,SNOMED,2013-07-31,2099-12-31,
O142,0,UKB_HESIN_Oper,Sentinel lymph node,4043202,SNOMED,2002-01-31,2099-12-31,
O148,0,UKB_HESIN_Oper,Specified other lymph node NEC,2108494,CPT4,1970-01-01,2099-12-31,
O149,0,UKB_HESIN_Oper,Other lymph node NEC,2108494,CPT4,1970-01-01,2099-12-31,
O161,0,UKB_HESIN_Oper,Pelvis NEC,43531071,SNOMED,2013-07-31,2099-12-31,
O162,0,UKB_HESIN_Oper,Spine NEC,4031967,SNOMED,2002-01-31,2099-12-31,
O168,0,UKB_HESIN_Oper,Specified body region NEC,36675054,SNOMED,2019-01-31,2099-12-31,
O169,0,UKB_HESIN_Oper,Body region NEC,36675054,SNOMED,2019-01-31,2099-12-31,
O281,0,UKB_HESIN_Oper,Basilar artery,4300156,SNOMED,2003-01-31,2099-12-31,
O288,0,UKB_HESIN_Oper,Specified other cerebral artery NEC,4300156,SNOMED,2003-01-31,2099-12-31,
O289,0,UKB_HESIN_Oper,Other cerebral artery NEC,4300156,SNOMED,2003-01-31,2099-12-31,
O301,0,UKB_HESIN_Oper,Hepatic flexure,4042815,SNOMED,2002-01-31,2099-12-31,
O302,0,UKB_HESIN_Oper,Splenic flexure,4042815,SNOMED,2002-01-31,2099-12-31,
O308,0,UKB_HESIN_Oper,Specified other large intestine NEC,4040563,SNOMED,2002-01-31,2099-12-31,
O309,0,UKB_HESIN_Oper,Other large intestine NEC,4040563,SNOMED,2002-01-31,2099-12-31,
O311,0,UKB_HESIN_Oper,Wrist NEC,4040398,SNOMED,2002-01-31,2099-12-31,
O331,0,UKB_HESIN_Oper,Skull base,4042653,SNOMED,2002-01-31,2099-12-31,
O339,0,UKB_HESIN_Oper,Bone of skull NEC,4042653,SNOMED,2002-01-31,2099-12-31,
V551,0,UKB_HESIN_Oper,One level of spine,4031967,SNOMED,2002-01-31,2099-12-31,
V552,0,UKB_HESIN_Oper,Two levels of spine,4031967,SNOMED,2002-01-31,2099-12-31,
V553,0,UKB_HESIN_Oper,Greater than two levels of spine,4031967,SNOMED,2002-01-31,2099-12-31,
V558,0,UKB_HESIN_Oper,Other specified levels of spine,4031967,SNOMED,2002-01-31,2099-12-31,
V559,0,UKB_HESIN_Oper,Unspecified levels of spine,4031967,SNOMED,2002-01-31,2099-12-31,
Z011,0,UKB_HESIN_Oper,Tissue of frontal lobe of brain,4043201,SNOMED,2002-01-31,2099-12-31,
Z012,0,UKB_HESIN_Oper,Tissue of temporal lobe of brain,4043201,SNOMED,2002-01-31,2099-12-31,
Z013,0,UKB_HESIN_Oper,Tissue of parietal lobe of brain,4043201,SNOMED,2002-01-31,2099-12-31,
Z014,0,UKB_HESIN_Oper,Tissue of occipital lobe of brain,4042653,SNOMED,2002-01-31,2099-12-31,
Z015,0,UKB_HESIN_Oper,Tissue of cerebellum,4043201,SNOMED,2002-01-31,2099-12-31,
Z016,0,UKB_HESIN_Oper,Tissue of brain stem,4043201,SNOMED,2002-01-31,2099-12-31,
Z018,0,UKB_HESIN_Oper,Specified tissue of brain NEC,4043201,SNOMED,2002-01-31,2099-12-31,
Z019,0,UKB_HESIN_Oper,Tissue of brain NEC,4043201,SNOMED,2002-01-31,2099-12-31,
Z021,0,UKB_HESIN_Oper,Lateral ventricle of brain,4043201,SNOMED,2002-01-31,2099-12-31,
Z022,0,UKB_HESIN_Oper,Third ventricle of brain,4043201,SNOMED,2002-01-31,2099-12-31,
Z023,0,UKB_HESIN_Oper,Fourth ventricle of brain,4043201,SNOMED,2002-01-31,2099-12-31,
