source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
Oral,0,GOLD_ROUTE_STCM,Oral,4132161,SNOMED,2002-01-31,2099-12-31,
Inhalation,0,GOLD_ROUTE_STCM,Inhalation,45956874,SNOMED,2011-05-04,2099-12-31,
Cutaneous,0,GOLD_ROUTE_STCM,Cutaneous,40490507,SNOMED,2011-07-31,2099-12-31,
Ocular,0,GOLD_ROUTE_STCM,Ocular,40549429,SNOMED,2002-07-31,2099-12-31,
Transdermal,0,GOLD_ROUTE_STCM,Transdermal,4262099,SNOMED,2002-01-31,2099-12-31,
Nasal,0,GOLD_ROUTE_STCM,Nasal,4262914,SNOMED,2002-01-31,2099-12-31,
Route of administration not applicable,0,GOLD_ROUTE_STCM,Route of administration not applicable,45956875,SNOMED,2008-04-01,2099-12-31,
Subcutaneous,0,GOLD_ROUTE_STCM,Subcutaneous,4142048,SNOMED,2002-01-31,2099-12-31,
Intramuscular,0,GOLD_ROUTE_STCM,Intramuscular,4302612,SNOMED,2002-01-31,2099-12-31,
Sublingual,0,GOLD_ROUTE_STCM,Sublingual,4292110,SNOMED,2002-01-31,2099-12-31,
Auricular,0,GOLD_ROUTE_STCM,Auricular,4023156,SNOMED,2002-01-31,2099-12-31,
Rectal,0,GOLD_ROUTE_STCM,Rectal,4290759,SNOMED,2002-01-31,2099-12-31,
Oromucosal,0,GOLD_ROUTE_STCM,Oromucosal,4186839,SNOMED,2002-07-31,2099-12-31,
Vaginal,0,GOLD_ROUTE_STCM,Vaginal,4057765,SNOMED,2002-01-31,2099-12-31,
Topical,0,GOLD_ROUTE_STCM,Topical,4263689,SNOMED,2002-01-31,2099-12-31,
Subcutaneous Injection,0,GOLD_ROUTE_STCM,Subcutaneous Injection,4142048,SNOMED,2002-01-31,2099-12-31,
Buccal,0,GOLD_ROUTE_STCM,Buccal,4181897,SNOMED,2002-01-31,2099-12-31,
Intra-osseous Injection,0,GOLD_ROUTE_STCM,Intra-osseous Injection,4213522,SNOMED,2005-07-31,2099-12-31,
Cutaneous/Vaginal,0,GOLD_ROUTE_STCM,Cutaneous/Vaginal,4057765,SNOMED,2002-01-31,2099-12-31,
Gastroenteral,0,GOLD_ROUTE_STCM,Gastroenteral,4186834,SNOMED,2002-07-31,2099-12-31,
Periarticular Injection,0,GOLD_ROUTE_STCM,Periarticular Injection,4156708,SNOMED,2002-07-31,2099-12-31,
Intrauterine,0,GOLD_ROUTE_STCM,Intrauterine,4269621,SNOMED,2002-01-31,2099-12-31,
Dental,0,GOLD_ROUTE_STCM,Dental,4163765,SNOMED,2002-07-31,2099-12-31,
Intracavernous,0,GOLD_ROUTE_STCM,Intracavernous,4157757,SNOMED,2002-07-31,2099-12-31,
Intravenous Injection,0,GOLD_ROUTE_STCM,Intravenous Injection,4171047,SNOMED,2002-01-31,2099-12-31,
Intravenous,0,GOLD_ROUTE_STCM,Intravenous,4171047,SNOMED,2002-01-31,2099-12-31,
Urethral,0,GOLD_ROUTE_STCM,Urethral,4233974,SNOMED,2002-01-31,2099-12-31,
Intramuscular Injection,0,GOLD_ROUTE_STCM,Intramuscular Injection,4302612,SNOMED,2002-01-31,2099-12-31,
Intra-articular Injection,0,GOLD_ROUTE_STCM,Intra-articular Injection,4006860,SNOMED,2002-01-31,2099-12-31,
Intradermal,0,GOLD_ROUTE_STCM,Intradermal,4156706,SNOMED,2002-07-31,2099-12-31,
Intracavernosal Injection,0,GOLD_ROUTE_STCM,Intracavernosal Injection,40492302,SNOMED,2002-01-31,2099-12-31,
Gingival,0,GOLD_ROUTE_STCM,Gingival,4156704,SNOMED,2002-07-31,2099-12-31,
Intradermal Injection,0,GOLD_ROUTE_STCM,Intradermal Injection,4156706,SNOMED,2002-07-31,2099-12-31,
Intravesical,0,GOLD_ROUTE_STCM,Intravesical,4186838,SNOMED,2002-07-31,2099-12-31,
Intravenous Infusion,0,GOLD_ROUTE_STCM,Intravenous Infusion,4171047,SNOMED,2002-01-31,2099-12-31,
Subcutaneous Infusion,0,GOLD_ROUTE_STCM,Subcutaneous Infusion,4142048,SNOMED,2002-01-31,2099-12-31,
Intraarticular,0,GOLD_ROUTE_STCM,Intraarticular,4006860,SNOMED,2002-01-31,2099-12-31,
Route Of Administration Not Applicable,0,GOLD_ROUTE_STCM,Route Of Administration Not Applicable,45956875,SNOMED,2008-04-01,2099-12-31,
Submucosal Injection Haemorrhoid,0,GOLD_ROUTE_STCM,Submucosal Injection Haemorrhoid,4169634,SNOMED,2006-01-31,2099-12-31,
Intrathecal,0,GOLD_ROUTE_STCM,Intrathecal,4217202,SNOMED,2002-01-31,2099-12-31,
Intravenous Injection Peripherally,0,GOLD_ROUTE_STCM,Intravenous Injection Peripherally,4171884,SNOMED,2006-01-31,2099-12-31,
Perineural Injection,0,GOLD_ROUTE_STCM,Perineural Injection,4157761,SNOMED,2002-01-31,2099-12-31,
Intralesional Injection,0,GOLD_ROUTE_STCM,Intralesional Injection,4157758,SNOMED,2002-01-31,2099-12-31,
Sublingual/Oral,0,GOLD_ROUTE_STCM,Sublingual/Oral,4292110,SNOMED,2002-01-31,2099-12-31,
Oromucosal Buccal,0,GOLD_ROUTE_STCM,Oromucosal Buccal,4181897,SNOMED,2002-01-31,2099-12-31,
Perineural,0,GOLD_ROUTE_STCM,Perineural,4157761,SNOMED,2002-01-31,2099-12-31,
Intravenous Infusion Peripherally,0,GOLD_ROUTE_STCM,Intravenous Infusion Peripherally,4171884,SNOMED,2006-01-31,2099-12-31,
Epidural,0,GOLD_ROUTE_STCM,Epidural,4225555,SNOMED,2004-01-31,2099-12-31,
Intraperitoneal,0,GOLD_ROUTE_STCM,Intraperitoneal,4243022,SNOMED,2002-01-31,2099-12-31,
Intravitreal,0,GOLD_ROUTE_STCM,Intravitreal,4302785,SNOMED,2006-01-31,2099-12-31,
Intravenous Infusion Centrally,0,GOLD_ROUTE_STCM,Intravenous Infusion Centrally,4170113,SNOMED,2006-01-31,2099-12-31,
Epidural Injection,0,GOLD_ROUTE_STCM,Epidural Injection,4225555,SNOMED,2004-01-31,2099-12-31,
Gingival/Oromucosal,0,GOLD_ROUTE_STCM,Gingival/Oromucosal,4156704,SNOMED,2002-07-31,2099-12-31,
Intralesional,0,GOLD_ROUTE_STCM,Intralesional,4157758,SNOMED,2002-07-31,2099-12-31,
Intraocular,0,GOLD_ROUTE_STCM,Intraocular,4157760,SNOMED,2002-07-31,2099-12-31,
Epidural Infusion,0,GOLD_ROUTE_STCM,Epidural Infusion,4225555,SNOMED,2004-01-31,2099-12-31,
Intra-ocular Injection,0,GOLD_ROUTE_STCM,Intra-ocular Injection,4157760,SNOMED,2002-01-31,2099-12-31,
Endocervical,0,GOLD_ROUTE_STCM,Endocervical,4186831,SNOMED,2002-07-31,2099-12-31,
Intravenous Infusion Via Tubing Of Fast Running Infusion,0,GOLD_ROUTE_STCM,Intravenous Infusion Via Tubing Of Fast Running Infusion,4171047,SNOMED,2002-01-31,2099-12-31,
Endotracheopulmonary,0,GOLD_ROUTE_STCM,Endotracheopulmonary,4186832,SNOMED,2002-07-31,2099-12-31,
Intracameral,0,GOLD_ROUTE_STCM,Intracameral,4303409,SNOMED,2006-07-31,2099-12-31,
Oromucosal other,0,GOLD_ROUTE_STCM,Oromucosal other,4186839,SNOMED,2002-07-31,2099-12-31,
Intraarterial,0,GOLD_ROUTE_STCM,Intraarterial,4240824,SNOMED,2002-01-31,2099-12-31,
Intracoronary,0,GOLD_ROUTE_STCM,Intracoronary,4186836,SNOMED,2002-07-31,2099-12-31,
Gingival/Dental,0,GOLD_ROUTE_STCM,Gingival/Dental,4156704,SNOMED,2002-07-31,2099-12-31,
Nebulised,0,GOLD_ROUTE_STCM,Nebulised,45956874,SNOMED,2011-05-04,2099-12-31,
Cutaneous/Rectal,0,GOLD_ROUTE_STCM,Cutaneous/Rectal,4263689,SNOMED,2002-01-31,2099-12-31,
Rectal/Cutaneous,0,GOLD_ROUTE_STCM,Rectal/Cutaneous,4263689,SNOMED,2002-01-31,2099-12-31,
