source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
01,0,HESAE_DIAG_STCM,Laceration,443419,SNOMED,2002-01-31,2099-12-31,
02,0,HESAE_DIAG_STCM,Contusion/abrasion,440921,SNOMED,2005-07-31,2099-12-31,
021,0,HESAE_DIAG_STCM,Contusion,441737,SNOMED,2002-01-31,2099-12-31,
022,0,HESAE_DIAG_STCM,Abrasion,4219871,SNOMED,2003-07-31,2099-12-31,
03,0,HESAE_DIAG_STCM,Soft tissue inflammation,376208,SNOMED,2002-01-31,2099-12-31,
04,0,HESAE_DIAG_STCM,Head injury,375415,SNOMED,2002-01-31,2099-12-31,
041,0,HESAE_DIAG_STCM,Concussion,4001336,SNOMED,2002-01-31,2099-12-31,
042,0,HESAE_DIAG_STCM,Other head injury,375415,SNOMED,2002-01-31,2099-12-31,
05,0,HESAE_DIAG_STCM,Dislocation/fracture/joint injury/amputation,4154739,SNOMED,2002-01-31,2099-12-31,
051,0,HESAE_DIAG_STCM,Dislocation,4227147,SNOMED,2002-01-31,2099-12-31,
052,0,HESAE_DIAG_STCM,Open fracture,4264281,SNOMED,2003-07-31,2099-12-31,
053,0,HESAE_DIAG_STCM,Closed fracture,4307254,SNOMED,2007-01-31,2099-12-31,
054,0,HESAE_DIAG_STCM,Joint injury,4054054,SNOMED,2002-01-31,2099-12-31,
055,0,HESAE_DIAG_STCM,Amputation,4096479,SNOMED,2002-01-31,2099-12-31,
06,0,HESAE_DIAG_STCM,Sprain/ligament injury,4160875,SNOMED,2002-01-31,2099-12-31,
07,0,HESAE_DIAG_STCM,Muscle/tendon injury,4194894,SNOMED,2002-01-31,2099-12-31,
08,0,HESAE_DIAG_STCM,Nerve injury,381732,SNOMED,2002-01-31,2099-12-31,
09,0,HESAE_DIAG_STCM,Vascular injury,192763,SNOMED,2002-01-31,2099-12-31,
10,0,HESAE_DIAG_STCM,Burns and scalds,442013,SNOMED,2002-01-31,2099-12-31,
101,0,HESAE_DIAG_STCM,Burns and scalds - electric,4228294,SNOMED,2004-01-31,2099-12-31,
