source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
19,0,HESAPC_ADMISORC_STCM,Usual residence,4081426,SNOMED,2002-01-31,2099-12-31,
29,0,HESAPC_ADMISORC_STCM,Temporary residence,44790997,SNOMED,2006-10-02,2099-12-31,
30,0,HESAPC_ADMISORC_STCM,Repatriation from psychiatric hospital,4213258,SNOMED,2002-01-31,2099-12-31,
38,0,HESAPC_ADMISORC_STCM,police station,4072749,SNOMED,2002-01-31,2099-12-31,
39,0,HESAPC_ADMISORC_STCM,Penal establishment (Court/Police),4119859,SNOMED,2002-01-31,2099-12-31,
50,0,HESAPC_ADMISORC_STCM,NHS medium secure unit,4075819,SNOMED,2002-01-31,2099-12-31,
51,0,HESAPC_ADMISORC_STCM,NHS general patient/A&E,4148518,SNOMED,2002-01-31,2099-12-31,
52,0,HESAPC_ADMISORC_STCM,NHS maternity/neonatal ward,4046029,SNOMED,2002-01-31,2099-12-31,
53,0,HESAPC_ADMISORC_STCM,NHS mental health/learning disabilities,4046029,SNOMED,2017-10-01,2099-12-31,
54,0,HESAPC_ADMISORC_STCM,NHS-run Care Home,35609662,SNOMED,2009-04-01,2099-12-31,
65,0,HESAPC_ADMISORC_STCM,Local authority accommodation,44802043,SNOMED,2009-10-01,2099-12-31,
66,0,HESAPC_ADMISORC_STCM,Local authority foster care,4084661,SNOMED,2002-01-31,2099-12-31,
69,0,HESAPC_ADMISORC_STCM,Local authority home/care,44790305,SNOMED,2005-07-31,2099-12-31,
79,0,HESAPC_ADMISORC_STCM,Hospital birth,45769928,SNOMED,2014-10-01,2099-12-31,
88,0,HESAPC_ADMISORC_STCM,Non-NHS hospice,36685718,SNOMED,2018-10-01,2099-12-31,
99,0,HESAPC_ADMISORC_STCM,Not known,42689668,SNOMED,2017-04-01,2099-12-31,
