source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
100,0,HES_SPEC_STCM,General Surgery,4214575,SNOMED,2003-01-31,2099-12-31,
101,0,HES_SPEC_STCM,Urology,4215134,SNOMED,2003-01-31,2099-12-31,
102,0,HES_SPEC_STCM,Transplantation Surgery (incl. Renal and Liver Transplants),4248538,SNOMED,2004-01-31,2099-12-31,
103,0,HES_SPEC_STCM,Breast Surgery (excludes Cosmetic Surgery),4252369,SNOMED,2004-01-31,2099-12-31,
104,0,HES_SPEC_STCM,Colorectal Surgery,4252368,SNOMED,2004-01-31,2099-12-31,
105,0,HES_SPEC_STCM,Hepatobiliary & Pancreatic Surgery (excludes Liver Transplantation),4248536,SNOMED,2004-01-31,2099-12-31,
106,0,HES_SPEC_STCM,Upper Gastrointestinal Surgery,4256632,SNOMED,2004-01-31,2099-12-31,
107,0,HES_SPEC_STCM,Vascular Surgery,4235388,SNOMED,2003-01-31,2099-12-31,
108,0,HES_SPEC_STCM,Spinal Surgery,44811332,SNOMED,2003-01-31,2099-12-31,
109,0,HES_SPEC_STCM,Bariatric Surgery Service,761960,SNOMED,2015-03-01,2099-12-31,
110,0,HES_SPEC_STCM,Trauma & Orthopaedics,4190556,SNOMED,2003-01-31,2099-12-31,
111,0,HES_SPEC_STCM,Orthopaedic Service,4150872,SNOMED,2002-01-31,2099-12-31,
113,0,HES_SPEC_STCM,Endocrine Surgery Service,4147266,SNOMED,2002-01-31,2099-12-31,
115,0,HES_SPEC_STCM,Trauma Surgery Service,4149162,SNOMED,2002-01-31,2099-12-31,
120,0,HES_SPEC_STCM,Ear Nose And Throat (ENT),4178545,SNOMED,2003-01-31,2099-12-31,
130,0,HES_SPEC_STCM,Ophthalmology,4190430,SNOMED,2003-01-31,2099-12-31,
140,0,HES_SPEC_STCM,Oral Surgery,4190432,SNOMED,2003-01-31,2099-12-31,
141,0,HES_SPEC_STCM,Restorative Dentistry,4214573,SNOMED,2003-01-31,2099-12-31,
142,0,HES_SPEC_STCM,Paediatric Dentistry,4192660,SNOMED,2003-01-31,2099-12-31,
143,0,HES_SPEC_STCM,Orthodontics,4214574,SNOMED,2003-01-31,2099-12-31,
144,0,HES_SPEC_STCM,MaxilloFacial Surgery,4255405,SNOMED,2003-01-31,2099-12-31,
145,0,HES_SPEC_STCM,Oral and Maxillofacial Surgery Service,37312677,SNOMED,2020-01-31,2099-12-31,
146,0,HES_SPEC_STCM,Endodontics,4247117,SNOMED,2004-01-31,2099-12-31,
147,0,HES_SPEC_STCM,Periodontics,4248533,SNOMED,2004-01-31,2099-12-31,
148,0,HES_SPEC_STCM,Prosthodontics,4255406,SNOMED,2004-01-31,2099-12-31,
149,0,HES_SPEC_STCM,Surgical Dentistry,4235385,SNOMED,2004-01-31,2099-12-31,
150,0,HES_SPEC_STCM,Neurosurgery,4215133,SNOMED,2003-01-31,2099-12-31,
160,0,HES_SPEC_STCM,Plastic Surgery,44804203,SNOMED,2003-01-31,2099-12-31,
161,0,HES_SPEC_STCM,Burns Care,4252367,SNOMED,2003-01-31,2099-12-31,
170,0,HES_SPEC_STCM,Cardiothoracic Surgery,4215132,SNOMED,2003-01-31,2099-12-31,
171,0,HES_SPEC_STCM,Paediatric surgery,4214560,SNOMED,2003-01-31,2099-12-31,
172,0,HES_SPEC_STCM,Cardiac Surgery,4255407,SNOMED,2004-01-31,2099-12-31,
173,0,HES_SPEC_STCM,Thoracic Surgery,4252365,SNOMED,2004-01-31,2099-12-31,
174,0,HES_SPEC_STCM,Cardiothoracic Transplantation,4255408,SNOMED,2004-01-31,2099-12-31,
180,0,HES_SPEC_STCM,Accident And Emergency (A&E),4150087,SNOMED,2002-01-31,2099-12-31,
190,0,HES_SPEC_STCM,Anaesthetics,4192655,SNOMED,2003-01-31,2099-12-31,
191,0,HES_SPEC_STCM,Pain Management,4083171,SNOMED,2002-01-31,2099-12-31,
192,0,HES_SPEC_STCM,Critical Care Medicine,4256631,SNOMED,2004-01-31,2099-12-31,
199,0,HES_SPEC_STCM,Non-UK Provider - Unknown Specialty (Primarily Surgical),44777813,SNOMED,1970-01-01,2099-12-31,
200,0,HES_SPEC_STCM,Aviation and Space Medicine,3657577,SNOMED,1920-09-30,2099-12-31,
211,0,HES_SPEC_STCM,Paediatric Urology,44808052,SNOMED,2012-04-01,2099-12-31,
212,0,HES_SPEC_STCM,Paediatric Transplantation Surgery,44814159,SNOMED,2012-04-01,2099-12-31,
213,0,HES_SPEC_STCM,Paediatric Gastrointestinal Surgery,44814159,SNOMED,2012-04-01,2099-12-31,
