source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
"ALGINIC ACID WITH ALUMINIUM HYDROXIDE, MAGNESIUM TRISILICATE AND SODIUM BICARBONATE TABLETS 500MG",0,UKB_GP_Script_drug,"ALGINIC ACID WITH ALUMINIUM HYDROXIDE, MAGNESIUM TRISILICATE AND SODIUM BICARBONATE TABLETS 500MG",939506,RxNorm,1970-01-01,2099-12-31,
"ALGINIC ACID WITH ALUMINIUM HYDROXIDE, MAGNESIUM TRISILICATE AND SODIUM BICARBONATE TABLETS 500MG",0,UKB_GP_Script_drug,"ALGINIC ACID WITH ALUMINIUM HYDROXIDE, MAGNESIUM TRISILICATE AND SODIUM BICARBONATE TABLETS 500MG",985247,RxNorm,1970-01-01,2099-12-31,
"ALGINIC ACID WITH ALUMINIUM HYDROXIDE, MAGNESIUM TRISILICATE AND SODIUM BICARBONATE TABLETS 500MG",0,UKB_GP_Script_drug,"ALGINIC ACID WITH ALUMINIUM HYDROXIDE, MAGNESIUM TRISILICATE AND SODIUM BICARBONATE TABLETS 500MG",43013872,RxNorm,2013-03-04,2099-12-31,
ALUMINIUM HYDROXIDE WITH MAGNESIUM CARBONATE AND ALGINIC ACID TABLETS,0,UKB_GP_Script_drug,ALUMINIUM HYDROXIDE WITH MAGNESIUM CARBONATE AND ALGINIC ACID TABLETS,908464,RxNorm,1970-01-01,2099-12-31,
ALUMINIUM HYDROXIDE WITH MAGNESIUM CARBONATE AND ALGINIC ACID TABLETS,0,UKB_GP_Script_drug,ALUMINIUM HYDROXIDE WITH MAGNESIUM CARBONATE AND ALGINIC ACID TABLETS,985247,RxNorm,1970-01-01,2099-12-31,
ALUMINIUM HYDROXIDE WITH MAGNESIUM CARBONATE AND ALGINIC ACID TABLETS,0,UKB_GP_Script_drug,ALUMINIUM HYDROXIDE WITH MAGNESIUM CARBONATE AND ALGINIC ACID TABLETS,43013872,RxNorm,2013-03-04,2099-12-31,
ALUMINIUM HYDROXIDE WITH OXETACAINE AND MAGNESIUM HYDROXIDE SUSPENSION,0,UKB_GP_Script_drug,ALUMINIUM HYDROXIDE WITH OXETACAINE AND MAGNESIUM HYDROXIDE SUSPENSION,985247,RxNorm,1970-01-01,2099-12-31,
ALUMINIUM HYDROXIDE WITH OXETACAINE AND MAGNESIUM HYDROXIDE SUSPENSION,0,UKB_GP_Script_drug,ALUMINIUM HYDROXIDE WITH OXETACAINE AND MAGNESIUM HYDROXIDE SUSPENSION,36879092,RxNorm Extension,2009-11-17,2099-12-31,
AMOXICILLIN WITH CLARITHROMYCIN AND LANSOPRAZOLE TRIPLE PACK 500MG + 500MG + 30MG,0,UKB_GP_Script_drug,AMOXICILLIN WITH CLARITHROMYCIN AND LANSOPRAZOLE TRIPLE PACK 500MG + 500MG + 30MG,929887,RxNorm,1970-01-01,2099-12-31,
AMOXICILLIN WITH CLARITHROMYCIN AND LANSOPRAZOLE TRIPLE PACK 500MG + 500MG + 30MG,0,UKB_GP_Script_drug,AMOXICILLIN WITH CLARITHROMYCIN AND LANSOPRAZOLE TRIPLE PACK 500MG + 500MG + 30MG,1713332,RxNorm,1970-01-01,2099-12-31,
AMOXICILLIN WITH CLARITHROMYCIN AND LANSOPRAZOLE TRIPLE PACK 500MG + 500MG + 30MG,0,UKB_GP_Script_drug,AMOXICILLIN WITH CLARITHROMYCIN AND LANSOPRAZOLE TRIPLE PACK 500MG + 500MG + 30MG,1750500,RxNorm,1970-01-01,2099-12-31,
ASCORBIC ACID WITH CALCIUM AND VITAMIN B COMPLEX EFFERVESCENT TABLET,0,UKB_GP_Script_drug,ASCORBIC ACID WITH CALCIUM AND VITAMIN B COMPLEX EFFERVESCENT TABLET,19010970,RxNorm,1970-01-01,2099-12-31,
ASCORBIC ACID WITH CALCIUM AND VITAMIN B COMPLEX EFFERVESCENT TABLET,0,UKB_GP_Script_drug,ASCORBIC ACID WITH CALCIUM AND VITAMIN B COMPLEX EFFERVESCENT TABLET,19011773,RxNorm,1970-01-01,2099-12-31,
ASCORBIC ACID WITH CALCIUM AND VITAMIN B COMPLEX EFFERVESCENT TABLET,0,UKB_GP_Script_drug,ASCORBIC ACID WITH CALCIUM AND VITAMIN B COMPLEX EFFERVESCENT TABLET,19018544,RxNorm,1970-01-01,2099-12-31,
ATRIPLA (FORM NOT SPECIFIED),0,UKB_GP_Script_drug,ATRIPLA (FORM NOT SPECIFIED),1703069,RxNorm,1970-01-01,2099-12-31,
ATRIPLA (FORM NOT SPECIFIED),0,UKB_GP_Script_drug,ATRIPLA (FORM NOT SPECIFIED),1738135,RxNorm,1970-01-01,2099-12-31,
ATRIPLA (FORM NOT SPECIFIED),0,UKB_GP_Script_drug,ATRIPLA (FORM NOT SPECIFIED),19011093,RxNorm,2005-07-24,2099-12-31,
AUGMENTIN (FORM NOT SPECIFIED),0,UKB_GP_Script_drug,AUGMENTIN (FORM NOT SPECIFIED),1713332,RxNorm,1970-01-01,2099-12-31,
AUGMENTIN (FORM NOT SPECIFIED),0,UKB_GP_Script_drug,AUGMENTIN (FORM NOT SPECIFIED),1759842,RxNorm,1970-01-01,2099-12-31,
BETAMETHASONE DIPROPIONATE AND SALICYLIC ACID  SCALP APPLICATION  0.05 % + 2 %,0,UKB_GP_Script_drug,BETAMETHASONE DIPROPIONATE AND SALICYLIC ACID  SCALP APPLICATION  0.05 % + 2 %,920458,RxNorm,1970-01-01,2099-12-31,
