source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
a111.,0,UKB_GP_Script_read_2,ALUMINIUM HYDROXIDE 500mg tablets,985301,RxNorm,1970-01-01,2099-12-31,
a112.,0,UKB_GP_Script_read_2,ALUMINIUM HYDROXIDE 4% mixture,41267470,RxNorm Extension,2017-08-24,2099-12-31,
a116.,0,UKB_GP_Script_read_2,ALUMINIUM HYDROXIDE 475mg capsules,985299,RxNorm,1970-01-01,2099-12-31,
a123.,0,UKB_GP_Script_read_2,MAGNESIUM HYDROX [ANTACID] liquid,43658727,RxNorm Extension,2017-08-24,2099-12-31,
a124.,0,UKB_GP_Script_read_2,MAGNESIUM TRISILICATE CO tablets,40054494,RxNorm,1970-01-01,2099-12-31,
a125.,0,UKB_GP_Script_read_2,MAGNESIUM TRISILICATE mixture,908730,RxNorm,1970-01-01,2099-12-31,
a134.,0,UKB_GP_Script_read_2,SODIUM BICARB NORTON 500mg capsules,19003160,RxNorm,1970-01-01,2099-12-31,
a136.,0,UKB_GP_Script_read_2,SODIUM BICARBONATE 600mg tablets,19003159,RxNorm,1970-01-01,2099-12-31,
a137.,0,UKB_GP_Script_read_2,SODIUM BICARBONATE 500mg capsules,19003160,RxNorm,1970-01-01,2099-12-31,
a213.,0,UKB_GP_Script_read_2,HYDROTALCITE 500mg tablets,19115139,RxNorm,2005-09-11,2099-12-31,
a214.,0,UKB_GP_Script_read_2,HYDROTALCITE 500mg/5mL suspension,19003182,RxNorm,1970-01-01,2099-12-31,
a217.,0,UKB_GP_Script_read_2,CO-MAGALDROX 300/600mg tablets,19003183,RxNorm,1970-01-01,2099-12-31,
a218.,0,UKB_GP_Script_read_2,CO-MAGALDROX 195/220mg in 5mL oral suspension,993305,RxNorm,1970-01-01,2099-12-31,
a219.,0,UKB_GP_Script_read_2,CO-MAGALDROX 300/600mg/5mL oral suspension,19073021,RxNorm,1970-01-01,2099-12-31,
a21B.,0,UKB_GP_Script_read_2,CO-SIMALCITE suspension,21142939,RxNorm Extension,2017-08-24,2099-12-31,
a21H.,0,UKB_GP_Script_read_2,MAGALDRATE mint suspension,36272018,RxNorm Extension,2017-10-01,2099-12-31,
a228.,0,UKB_GP_Script_read_2,ALTACITE 500mg/5mL suspension,19000825,RxNorm,1970-01-01,2099-12-31,
a22a.,0,UKB_GP_Script_read_2,ALTACITE PLUS suspension,40055863,RxNorm,1970-01-01,2099-12-31,
a22u.,0,UKB_GP_Script_read_2,ACIDEX oral suspension,36272061,RxNorm Extension,2017-10-01,2099-12-31,
a23A.,0,UKB_GP_Script_read_2,GAVISCON ADVANCE peppermint sugar free suspension,36266943,RxNorm Extension,2017-10-01,2099-12-31,
a23b.,0,UKB_GP_Script_read_2,GASTROCOTE tablets,44096585,RxNorm Extension,2017-08-24,2099-12-31,
a23c.,0,UKB_GP_Script_read_2,GASTRON tablets,40029060,RxNorm,1970-01-01,2099-12-31,
a23f.,0,UKB_GP_Script_read_2,GAVISCON infant oral powder,43024642,RxNorm Extension,2019-10-06,2099-12-31,
a23h.,0,UKB_GP_Script_read_2,INFACOL liquid,44175734,RxNorm Extension,2017-10-06,2099-12-31,
a23n.,0,UKB_GP_Script_read_2,GAVISCON-250 tablets,19021447,RxNorm,1970-01-01,2099-12-31,
a23q.,0,UKB_GP_Script_read_2,GAVISCON-500 tablets,40133595,RxNorm,2006-07-09,2099-12-31,
a23t.,0,UKB_GP_Script_read_2,GAVISCON-500 lemon tablets,40133595,RxNorm,2006-07-09,2099-12-31,
a23v.,0,UKB_GP_Script_read_2,GAVISCON ADVANCE sugar free suspension,36266943,RxNorm Extension,2017-10-01,2099-12-31,
a23z.,0,UKB_GP_Script_read_2,GAVISCON liquid sachets,43024642,RxNorm Extension,2019-10-06,2099-12-31,
a241.,0,UKB_GP_Script_read_2,MAALOX tablets,44070749,RxNorm Extension,2017-08-24,2099-12-31,
a242.,0,UKB_GP_Script_read_2,MAALOX suspension,44031883,RxNorm Extension,2017-08-24,2099-12-31,
a243.,0,UKB_GP_Script_read_2,MAALOX suspension 10mL,44031883,RxNorm Extension,2017-08-24,2099-12-31,
a245.,0,UKB_GP_Script_read_2,MAALOX TC suspension,44031883,RxNorm Extension,2017-08-24,2099-12-31,
a248.,0,UKB_GP_Script_read_2,MAALOX PLUS suspension,40007763,RxNorm,1970-01-01,2099-12-31,
