source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
a224.,0,UKB_GP_Script_read_2,ALGICON tablets,908464,RxNorm,1970-01-01,2099-12-31,
a224.,0,UKB_GP_Script_read_2,ALGICON tablets,985247,RxNorm,1970-01-01,2099-12-31,
a224.,0,UKB_GP_Script_read_2,ALGICON tablets,36879028,RxNorm Extension,2016-11-01,2099-12-31,
a225.,0,UKB_GP_Script_read_2,ALGICON mint suspension 500mL,908464,RxNorm,1970-01-01,2099-12-31,
a225.,0,UKB_GP_Script_read_2,ALGICON mint suspension 500mL,985247,RxNorm,1970-01-01,2099-12-31,
a225.,0,UKB_GP_Script_read_2,ALGICON mint suspension 500mL,36879028,RxNorm Extension,2016-11-01,2099-12-31,
a22i.,0,UKB_GP_Script_read_2,ASILONE liquid 100mL,966991,RxNorm,1970-01-01,2099-12-31,
a22i.,0,UKB_GP_Script_read_2,ASILONE liquid 100mL,993631,RxNorm,1970-01-01,2099-12-31,
a22m.,0,UKB_GP_Script_read_2,ASILONE gel 500mL,966991,RxNorm,1970-01-01,2099-12-31,
a22m.,0,UKB_GP_Script_read_2,ASILONE gel 500mL,993631,RxNorm,1970-01-01,2099-12-31,
a22n.,0,UKB_GP_Script_read_2,ALGICON aniseed suspension 500mL,908464,RxNorm,1970-01-01,2099-12-31,
a22n.,0,UKB_GP_Script_read_2,ALGICON aniseed suspension 500mL,985247,RxNorm,1970-01-01,2099-12-31,
a22n.,0,UKB_GP_Script_read_2,ALGICON aniseed suspension 500mL,36879028,RxNorm Extension,2016-11-01,2099-12-31,
a22o.,0,UKB_GP_Script_read_2,ASILONE liquid 200mL,966991,RxNorm,1970-01-01,2099-12-31,
a22o.,0,UKB_GP_Script_read_2,ASILONE liquid 200mL,993631,RxNorm,1970-01-01,2099-12-31,
a22p.,0,UKB_GP_Script_read_2,ASILONE suspension 500mL,966991,RxNorm,1970-01-01,2099-12-31,
a22p.,0,UKB_GP_Script_read_2,ASILONE suspension 500mL,993631,RxNorm,1970-01-01,2099-12-31,
a22q.,0,UKB_GP_Script_read_2,ASILONE tablets x24,966991,RxNorm,1970-01-01,2099-12-31,
a22q.,0,UKB_GP_Script_read_2,ASILONE tablets x24,993631,RxNorm,1970-01-01,2099-12-31,
a23B.,0,UKB_GP_Script_read_2,GAVISCON peppermint liquid 150mL,939506,RxNorm,1970-01-01,2099-12-31,
a23B.,0,UKB_GP_Script_read_2,GAVISCON peppermint liquid 150mL,19035704,RxNorm,1970-01-01,2099-12-31,
a23B.,0,UKB_GP_Script_read_2,GAVISCON peppermint liquid 150mL,43013872,RxNorm,2013-03-04,2099-12-31,
a23d.,0,UKB_GP_Script_read_2,GAVISCON tablets,939506,RxNorm,1970-01-01,2099-12-31,
a23d.,0,UKB_GP_Script_read_2,GAVISCON tablets,19035704,RxNorm,1970-01-01,2099-12-31,
a23d.,0,UKB_GP_Script_read_2,GAVISCON tablets,43013872,RxNorm,2013-03-04,2099-12-31,
a23e.,0,UKB_GP_Script_read_2,GAVISCON liquid 500mL,939506,RxNorm,1970-01-01,2099-12-31,
a23e.,0,UKB_GP_Script_read_2,GAVISCON liquid 500mL,19035704,RxNorm,1970-01-01,2099-12-31,
a23e.,0,UKB_GP_Script_read_2,GAVISCON liquid 500mL,43013872,RxNorm,2013-03-04,2099-12-31,
a23F.,0,UKB_GP_Script_read_2,GAVISCON COOL s/f liquid 300mL,939506,RxNorm,1970-01-01,2099-12-31,
a23F.,0,UKB_GP_Script_read_2,GAVISCON COOL s/f liquid 300mL,19035704,RxNorm,1970-01-01,2099-12-31,
a23F.,0,UKB_GP_Script_read_2,GAVISCON COOL s/f liquid 300mL,43013872,RxNorm,2013-03-04,2099-12-31,
a23G.,0,UKB_GP_Script_read_2,GAVISCON COOL s/f liquid 150mL,939506,RxNorm,1970-01-01,2099-12-31,
a23G.,0,UKB_GP_Script_read_2,GAVISCON COOL s/f liquid 150mL,19035704,RxNorm,1970-01-01,2099-12-31,
a23G.,0,UKB_GP_Script_read_2,GAVISCON COOL s/f liquid 150mL,43013872,RxNorm,2013-03-04,2099-12-31,
a23H.,0,UKB_GP_Script_read_2,GAVISCON COOL tablets,939506,RxNorm,1970-01-01,2099-12-31,
a23H.,0,UKB_GP_Script_read_2,GAVISCON COOL tablets,19035704,RxNorm,1970-01-01,2099-12-31,
a23H.,0,UKB_GP_Script_read_2,GAVISCON COOL tablets,43013872,RxNorm,2013-03-04,2099-12-31,
