source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
8240/1,0,UKB_MAIN_ICDO3,Carcinoid tumor/Uncertain whether benign or malignant,4304399,SNOMED,2002-01-31,2099-12-31,
8240/1,0,UKB_MAIN_ICDO3,Carcinoid tumor/Uncertain whether benign or malignant,4329832,SNOMED,2002-01-31,2099-12-31,
8822/1-NULL,0,UKB_MAIN_ICDO3,Abdominal fibromatosis/Uncertain whether benign or malignant-NULL,432582,SNOMED,2002-01-31,2099-12-31,
8822/1-NULL,0,UKB_MAIN_ICDO3,Abdominal fibromatosis/Uncertain whether benign or malignant-NULL,42513523,ICDO3,2015-09-18,2099-12-31,
8823/NULL-1712,0,UKB_MAIN_ICDO3,Desmoplastic fibroma/NULL-1712 Malignant neoplasm of connective & soft tissue - upper limb,760644,SNOMED,2013-09-01,2099-12-31,
8823/NULL-1712,0,UKB_MAIN_ICDO3,Desmoplastic fibroma/NULL-1712 Malignant neoplasm of connective & soft tissue - upper limb,4157319,SNOMED,2002-07-31,2099-12-31,
8823/NULL-1820,0,UKB_MAIN_ICDO3,"Desmoplastic fibroma/NULL-1820 Malignant neoplasm of corpus uteri, except isthmus",194286,SNOMED,2002-01-31,2099-12-31,
8823/NULL-1820,0,UKB_MAIN_ICDO3,"Desmoplastic fibroma/NULL-1820 Malignant neoplasm of corpus uteri, except isthmus",42513525,ICDO3,2015-09-18,2099-12-31,
8824/NULL-1740,0,UKB_MAIN_ICDO3,Myofibroma/NULL-1740 Malignant neoplasm of female breast - nipple and areola,4091464,SNOMED,2002-01-31,2099-12-31,
8824/NULL-1740,0,UKB_MAIN_ICDO3,Myofibroma/NULL-1740 Malignant neoplasm of female breast - nipple and areola,42513527,ICDO3,2015-09-18,2099-12-31,
9120/NULL,0,UKB_MAIN_ICDO3,Hemangiosarcoma/NULL,443392,SNOMED,2002-01-31,2099-12-31,
9120/NULL,0,UKB_MAIN_ICDO3,Hemangiosarcoma/NULL,4191591,SNOMED,2002-01-31,2099-12-31,
9161/NULL-2381,0,UKB_MAIN_ICDO3,Hemangioblastoma/NULL-2381 Neoplasm of uncertain behaviour of connective and other soft tissue,432582,SNOMED,2002-01-31,2099-12-31,
9161/NULL-2381,0,UKB_MAIN_ICDO3,Hemangioblastoma/NULL-2381 Neoplasm of uncertain behaviour of connective and other soft tissue,42513715,ICDO3,2015-09-18,2099-12-31,
9351/NULL-1943,0,UKB_MAIN_ICDO3,Adamantinomatous craniopharyngioma/NULL-1943 Malignant neoplasm of pituitary gland and craniopharyngeal duct,4095304,SNOMED,2002-01-31,2099-12-31,
9351/NULL-1943,0,UKB_MAIN_ICDO3,Adamantinomatous craniopharyngioma/NULL-1943 Malignant neoplasm of pituitary gland and craniopharyngeal duct,42513793,ICDO3,2015-09-18,2099-12-31,
9351/NULL-226,0,UKB_MAIN_ICDO3,Adamantinomatous craniopharyngioma/NULL-226 Benign neoplasm of thyroid gland,141249,SNOMED,2002-01-31,2099-12-31,
9351/NULL-226,0,UKB_MAIN_ICDO3,Adamantinomatous craniopharyngioma/NULL-226 Benign neoplasm of thyroid gland,42513793,ICDO3,2015-09-18,2099-12-31,
9383/NULL-1919,0,UKB_MAIN_ICDO3,"Subependymoma/NULL-1919 Malignant neoplasm of brain, unspecified",443588,SNOMED,2008-01-31,2099-12-31,
9383/NULL-1919,0,UKB_MAIN_ICDO3,"Subependymoma/NULL-1919 Malignant neoplasm of brain, unspecified",42513806,ICDO3,2015-09-18,2099-12-31,
9391/NULL-2381,0,UKB_MAIN_ICDO3,"Ependymoma, NOS/NULL-2381 Neoplasm of uncertain behaviour of connective and other soft tissue",36716859,SNOMED,2017-01-31,2099-12-31,
9391/NULL-2381,0,UKB_MAIN_ICDO3,"Ependymoma, NOS/NULL-2381 Neoplasm of uncertain behaviour of connective and other soft tissue",40482745,SNOMED,2010-01-31,2099-12-31,
9391/NULL-2384,0,UKB_MAIN_ICDO3,"Ependymoma, NOS/NULL-2384 Polycythaemia vera",135214,SNOMED,2002-01-31,2099-12-31,
9391/NULL-2384,0,UKB_MAIN_ICDO3,"Ependymoma, NOS/NULL-2384 Polycythaemia vera",40482745,SNOMED,2010-01-31,2099-12-31,
9673/NULL-2019,0,UKB_MAIN_ICDO3,"Mantle cell lymphoma/NULL-2019 Hodgkin's disease, unspecified",4038835,SNOMED,2002-01-31,2099-12-31,
9673/NULL-2019,0,UKB_MAIN_ICDO3,"Mantle cell lymphoma/NULL-2019 Hodgkin's disease, unspecified",40481901,SNOMED,2010-01-31,2099-12-31,
9769/1-NULL,0,UKB_MAIN_ICDO3,Immunoglobulin deposition disease/Uncertain whether benign or malignant-NULL,432582,SNOMED,2002-01-31,2099-12-31,
9769/1-NULL,0,UKB_MAIN_ICDO3,Immunoglobulin deposition disease/Uncertain whether benign or malignant-NULL,42513975,ICDO3,2015-09-18,2099-12-31,
