source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
10-10003,35823884,UK Biobank,Stockport (pilot),35823884,UK Biobank,2012-01-05,2099-12-31,
10-11001,35820559,UK Biobank,Manchester,35820559,UK Biobank,2012-01-05,2099-12-31,
10-11002,35822005,UK Biobank,Oxford,35822005,UK Biobank,2012-01-05,2099-12-31,
10-11003,35816813,UK Biobank,Cardiff,35816813,UK Biobank,2012-01-05,2099-12-31,
10-11004,35819367,UK Biobank,Glasgow,35819367,UK Biobank,2012-01-05,2099-12-31,
10-11005,35818431,UK Biobank,Edinburgh,35818431,UK Biobank,2012-01-05,2099-12-31,
10-11006,35823885,UK Biobank,Stoke,35823885,UK Biobank,2012-01-05,2099-12-31,
10-11007,35823101,UK Biobank,Reading,35823101,UK Biobank,2012-01-05,2099-12-31,
10-11008,35816618,UK Biobank,Bury,35816618,UK Biobank,2012-01-05,2099-12-31,
10-11009,35821362,UK Biobank,Newcastle,35821362,UK Biobank,2012-01-05,2099-12-31,
10-11010,35820261,UK Biobank,Leeds,35820261,UK Biobank,2012-01-05,2099-12-31,
10-11011,35816554,UK Biobank,Bristol,35816554,UK Biobank,2012-01-05,2099-12-31,
10-11012,35816271,UK Biobank,Barts,35816271,UK Biobank,2012-01-05,2099-12-31,
10-11013,35821667,UK Biobank,Nottingham,35821667,UK Biobank,2012-01-05,2099-12-31,
10-11014,35823585,UK Biobank,Sheffield,35823585,UK Biobank,2012-01-05,2099-12-31,
10-11016,35820406,UK Biobank,Liverpool,35820406,UK Biobank,2012-01-05,2099-12-31,
10-11017,35820715,UK Biobank,Middlesborough,35820715,UK Biobank,2012-01-05,2099-12-31,
10-11018,35819586,UK Biobank,Hounslow,35819586,UK Biobank,2012-01-05,2099-12-31,
10-11020,35817565,UK Biobank,Croydon,35817565,UK Biobank,2012-01-05,2099-12-31,
10-11021,35816480,UK Biobank,Birmingham,35816480,UK Biobank,2012-01-05,2099-12-31,
10-11022,35824026,UK Biobank,Swansea,35824026,UK Biobank,2012-01-05,2099-12-31,
10-11023,35825088,UK Biobank,Wrexham,35825088,UK Biobank,2012-01-05,2099-12-31,
10-11024,35817020,UK Biobank,Cheadle (revisit),35817020,UK Biobank,2012-01-05,2099-12-31,
10-11025,35817019,UK Biobank,Cheadle (imaging),35817019,UK Biobank,2012-01-05,2099-12-31,
10-11026,35823102,UK Biobank,Reading (imaging),35823102,UK Biobank,2012-01-05,2099-12-31,
10-11027,35821363,UK Biobank,Newcastle (imaging),35821363,UK Biobank,2012-01-05,2099-12-31,
10-11028,35816555,UK Biobank,Bristol (imaging),35816555,UK Biobank,2012-01-05,2099-12-31,
100001-1,35815069,UK Biobank,1,35815069,UK Biobank,2012-09-14,2099-12-31,
100001-200,35815138,UK Biobank,2+,35815138,UK Biobank,2012-09-14,2099-12-31,
100001-555,35819479,UK Biobank,half,35819479,UK Biobank,2012-09-14,2099-12-31,
100002-1,35815070,UK Biobank,1,35815070,UK Biobank,2012-09-14,2099-12-31,
100002-111,35824771,UK Biobank,varied,35824771,UK Biobank,2012-09-14,2099-12-31,
100002-2,35815122,UK Biobank,2,35815122,UK Biobank,2012-09-14,2099-12-31,
