source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
P,0,NCRAS_RTDS_STCM,Primary,36768229,Cancer Modifier,2020-09-23,2099-12-31,
PR,0,NCRAS_RTDS_STCM,Primary and Regional nodes,36768229,Cancer Modifier,2020-09-23,2099-12-31,
PR,0,NCRAS_RTDS_STCM,Primary and Regional nodes,36769269,Cancer Modifier,2020-09-23,2099-12-31,
R,0,NCRAS_RTDS_STCM,Regional nodes,36769269,Cancer Modifier,2020-09-23,2099-12-31,
01,0,NCRAS_RTDS_STCM,Palliative,4179711,SNOMED,2021-07-31,2002-01-31,
02,0,NCRAS_RTDS_STCM,Anti-cancer (radical),4162591,SNOMED,2002-07-31,2099-12-31,
03,0,NCRAS_RTDS_STCM,Other,4181497,SNOMED,2020-09-23,2099-12-31,
T1,0,NCRAS_RTDS_STCM,Photons,607996,SNOMED,2021-01-31,2099-12-31,
T2,0,NCRAS_RTDS_STCM,Electrons,4165039,SNOMED,2002-07-31,2099-12-31,
T3,0,NCRAS_RTDS_STCM,Other,4141448,SNOMED,2002-01-31,2099-12-31,
T4,0,NCRAS_RTDS_STCM,Photon and Electron (Retired 1 April 2014),40486247,SNOMED,2011-07-31,2099-12-31,
T5,0,NCRAS_RTDS_STCM,Photon and Other (Retired 1 April 2014),603131,SNOMED,2021-01-31,2099-12-31,
T6,0,NCRAS_RTDS_STCM,Electron and Other (Retired 1 April 2014),603131,SNOMED,2021-01-31,2099-12-31,
T7,0,NCRAS_RTDS_STCM,"Photon, Electron and Other (Retired 1 April 2014)",603131,SNOMED,2021-01-31,2099-12-31,
radiotherapybeamenergy,0,NCRAS_RTDS_STCM,Beam energy,4045098,SNOMED,2002-01-31,2099-12-31,
numberofteletherapyfields1,0,NCRAS_RTDS_STCM,Single field teletherapy,4162704,SNOMED,2002-07-31,2099-12-31,
numberofteletherapyfields2,0,NCRAS_RTDS_STCM,Two field teletherapy,4191639,SNOMED,2002-07-31,2099-12-31,
numberofteletherapyfields3,0,NCRAS_RTDS_STCM,Three field teletherapy,4191640,SNOMED,2002-07-31,2099-12-31,
numberofteletherapyfields4,0,NCRAS_RTDS_STCM,Four field teletherapy,4190940,SNOMED,2002-07-31,2099-12-31,
numberofteletherapyfields,0,NCRAS_RTDS_STCM,Fixed field teletherapy,4191638,SNOMED,2002-07-31,2099-12-31,
rtprescribeddose,0,NCRAS_RTDS_STCM,Prescribed radiation dose in Grays,4163262,SNOMED,1970-01-01,2099-12-31,
prescribedfractions,0,NCRAS_RTDS_STCM,Prescribed number of fractions of a teletherapy treatment,4161287,SNOMED,2003-07-31,2099-12-31,
rtactualdose,0,NCRAS_RTDS_STCM,Actual radiation dose in Grays,4160593,SNOMED,2003-07-31,2099-12-31,
actualfractions,0,NCRAS_RTDS_STCM,Actual number of fractions of a teletherapy treatment,4163416,SNOMED,1970-01-01,2099-12-31,
5,0,NCRAS_RTDS_STCM,teletherapy,4141448,SNOMED,2002-01-31,2099-12-31,
6,0,NCRAS_RTDS_STCM,brachytherapy,40317890,SNOMED,2018-07-31,2099-12-31,
prescriptionid,0,NCRAS_RTDS_STCM,Radiotherapy planning,4044940,SNOMED,2002-01-31,2099-12-31,
